Entity,Code,Year,UNPopulationDivision(MedianAge)(2017)(years)
Japan,JPN,2015,46.299999
Jordan,JOR,2015,22.1
Kazakhstan,KAZ,2015,29.299999
Kenya,KEN,2015,19
Kiribati,KIR,2015,22.4
Kuwait,KWT,2015,33.400002
Kyrgyzstan,KGZ,2015,25.299999
Laos,LAO,2015,22.700001
Latin America & Caribbean,,2015,29.200001
Latvia,LVA,2015,42.5
Least developed countries,,2015,19.6
Lebanon,LBN,2015,28.5
Lesotho,LSO,2015,21.299999
Less developed regions,,2015,27.799999
"Less developed regions, excluding China",,2015,25.200001
"Less developed regions, excluding least developed countries",,2015,29.299999
Liberia,LBR,2015,18.6
Libya,LBY,2015,27.200001
Lithuania,LTU,2015,42.700001
Low income,,2015,18.299999
Lower middle income,,2015,25.200001
Luxembourg,LUX,2015,39.299999
Macao,MAC,2015,37.599998
Macedonia,MKD,2015,37.400002
Madagascar,MDG,2015,18.700001
Malawi,MWI,2015,17.4
Malaysia,MYS,2015,27.700001
Maldives,MDV,2015,27.9
Mali,MLI,2015,16
Malta,MLT,2015,40.900002
Martinique,MTQ,2015,43.700001
Mauritania,MRT,2015,19.700001
Mauritius,MUS,2015,35.599998
Mayotte,MYT,2015,19
Melanesia,OWID_MNS,2015,22.299999
Mexico,MEX,2015,27.5
Micronesia (country),FSM,2015,21.5
Micronesia (region),,2015,25.700001
Middle Africa,,2015,17.1
Middle income,,2015,29.1
Moldova,MDA,2015,35.599998
Mongolia,MNG,2015,27.1
Montenegro,MNE,2015,37.700001
More developed regions,,2015,41.099998
Morocco,MAR,2015,27.9
Mozambique,MOZ,2015,17.200001
Myanmar,MMR,2015,27.700001
Namibia,NAM,2015,21
Nepal,NPL,2015,23.200001
Netherlands,NLD,2015,42.099998
New Caledonia,NCL,2015,32.799999
New Zealand,NZL,2015,37.299999
Nicaragua,NIC,2015,25.200001
Niger,NER,2015,14.9
Nigeria,NGA,2015,17.9
North Korea,PRK,2015,34
Northern Africa,,2015,25
Northern America,,2015,37.900002
Northern Europe,,2015,40.400002
Norway,NOR,2015,39.200001
Oceania,,2015,32.799999
Oman,OMN,2015,29
Pakistan,PAK,2015,22.5
Palestine,PSE,2015,19.299999
Panama,PAN,2015,28.4
Papua New Guinea,PNG,2015,21.700001
Paraguay,PRY,2015,24.9
Peru,PER,2015,27.5
Philippines,PHL,2015,24.1
Poland,POL,2015,39.700001
Polynesia,OWID_PYA,2015,25.799999
Portugal,PRT,2015,43.900002
Puerto Rico,PRI,2015,36.400002
Qatar,QAT,2015,31.299999
Reunion,REU,2015,34.5
Romania,ROU,2015,41.299999
Russia,RUS,2015,38.700001
Rwanda,RWA,2015,19.4
Saint Lucia,LCA,2015,32.599998
Saint Vincent and the Grenadines,VCT,2015,29.799999
Samoa,WSM,2015,21.200001
Sao Tome and Principe,STP,2015,18.1
Saudi Arabia,SAU,2015,29.799999
Senegal,SEN,2015,18.299999
Serbia,SRB,2015,40
Seychelles,SYC,2015,34.599998
Sierra Leone,SLE,2015,18.299999
Singapore,SGP,2015,40
Slovakia,SVK,2015,39.200001
Slovenia,SVN,2015,43
Solomon Islands,SLB,2015,19.9
Somalia,SOM,2015,16.5
South Africa,ZAF,2015,26.1
South America,,2015,30.1
South Korea,KOR,2015,40.799999
South Sudan,SSD,2015,18.6
South-Central Asia,,2015,26.1
South-Eastern Asia,,2015,28.5
Southern Africa,,2015,25.5
Southern Asia,,2015,26.1
Southern Europe,,2015,43.900002
Spain,ESP,2015,43.200001
Sri Lanka,LKA,2015,32.299999
Sub-Saharan Africa,,2015,18.299999
Sudan,SDN,2015,18.9
Suriname,SUR,2015,28.4
Swaziland,SWZ,2015,20.4
Sweden,SWE,2015,40.900002
Switzerland,CHE,2015,42.200001
Syria,SYR,2015,20.200001
Taiwan,TWN,2015,39.599998
Tajikistan,TJK,2015,22.4
Tanzania,TZA,2015,17.299999
Thailand,THA,2015,37.799999
Timor,TLS,2015,17.4
Togo,TGO,2015,18.9
Tonga,TON,2015,21.299999
Trinidad and Tobago,TTO,2015,33.900002
Tunisia,TUN,2015,31.1
Turkey,TUR,2015,29.9
Turkmenistan,TKM,2015,25.6
Uganda,UGA,2015,15.8
Ukraine,UKR,2015,40.299999
United Arab Emirates,ARE,2015,33.400002
United Kingdom,GBR,2015,40.200001
United States,USA,2015,37.599998
United States Virgin Islands,VIR,2015,41.200001
Upper middle income,,2015,33.900002
Uruguay,URY,2015,34.900002
Uzbekistan,UZB,2015,26.299999
Vanuatu,VUT,2015,22.200001
Venezuela,VEN,2015,27.4
Vietnam,VNM,2015,30.4
Western Africa,,2015,17.9
Western Asia,,2015,26.5
Western Europe,,2015,43.5
Western Sahara,ESH,2015,26.799999
World,OWID_WRL,2015,29.6
Yemen,YEM,2015,19.200001
Zambia,ZMB,2015,17.1
Zimbabwe,ZWE,2015,19
