,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%)
4910,Iceland,ISL,2014,3.2656957605984998,41701.1372653816,328459.0,3.27639900249377,306653,20733,93.667,6.3330002
4966,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,435.17544926493105,419003394,874855900,32.384,67.615997
5022,Indonesia,IDN,2014,140.834257577681,10003.0890293448,255131116.0,140.834257577681,134288263,120842853,52.635,47.365002000000004
5078,Iran,IRN,2014,48.141587465311005,16924.2006778247,78411092.0,48.147795278008005,57106798,21304294,72.83,27.17
5134,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,80.5997421256217,24419541,10586539,69.758,30.242001000000002
5190,Ireland,IRL,2014,67.6112643344462,48898.3286615603,4686347.0,68.0265205399913,2903635,1754105,62.34,37.66
5245,Isle of Man,IMN,2014,144.894736842105,,,144.894736842105,43081,39509,52.162,47.838001
5301,Israel,ISR,2014,379.65341959334603,31702.083536629503,7941329.0,366.974537892791,7566988,648712,92.104,7.895999900000001
5357,Italy,ITA,2014,206.667369279935,33945.8438783585,59585668.0,202.575875433467,42109853,18679287,69.27199999999999,30.728001000000003
5413,Jamaica,JAM,2014,264.27396121883703,8051.2440283060205,2862087.0,264.27396121883703,1562242,1299845,54.583999999999996,45.416000000000004
5469,Japan,JPN,2014,349.122229536976,37337.3174057788,128162873.0,351.559772873778,116208079,11067921,91.304,8.6960001
5525,Jordan,JOR,2014,99.22624464969591,8622.18546801292,8809306.0,99.22624464969591,7928375,880931,90.0,10.0
5581,Kazakhstan,KAZ,2014,6.40378004963514,23587.337515146603,17487779.0,6.4776749268437195,9874723,7413562,57.118,42.882
5637,Kenya,KEN,2014,80.86630705977441,2753.23613475312,46024250.0,80.86630705977441,11607776,34416474,25.221,74.778999
5693,Kiribati,KIR,2014,136.367901234568,1815.12831464496,110458.0,136.367901234568,56083,54375,50.773,49.227001
5746,Kuwait,KWT,2014,212.25869809203098,70832.3683645207,3782450.0,212.25869809203098,3782450,0,100.0,0.0
5802,Kyrgyzstan,KGZ,2014,30.4249217935349,3181.64216292265,5774566.0,30.107226277372302,2079480,3756020,35.635,64.364998
5858,Laos,LAO,2014,28.493921143847498,5436.48264275006,6576397.0,28.493921143847498,2136474,4439923,32.486999999999995,67.513
5914,Latvia,LVA,2014,32.0646831778707,22172.2535081352,2016125.0,32.4135852090032,1354815,638967,67.952,32.048
5970,Lebanon,LBN,2014,547.730107526882,13831.3752293893,5603279.0,547.730107526882,4927916,675363,87.947,12.052999999999999
6026,Lesotho,LSO,2014,70.6780303030303,2677.19807805197,2145785.0,70.6780303030303,568676,1577109,26.502,73.498001
6082,Liberia,LBR,2014,45.58489410299,804.719886747093,4390737.0,45.58489410299,2168892,2221845,49.397,50.603001
