,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),Entity_y,pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Entity,pdi_y,idv_y,mas_y,uai_y,ltowvs_y,ivr_y
42,Panama,PAN,2014,52.5152811407049,20017.9943624961,3903986.0,52.5152811407049,2591115,1312871,66.37100000000001,33.629002,Panama,95.0,11.0,44.0,86.0,,,Panama,95.0,11.0,44.0,86.0,,
43,Peru,PER,2014,24.1979328125,11547.834216270901,30973354.0,24.1979328125,23903066,7070288,77.173,22.826999999999998,Peru,64.0,16.0,42.0,87.0,25.188916876574307,46.20535714285714,Peru,64.0,16.0,42.0,87.0,25.188916876574307,46.20535714285714
44,Poland,POL,2014,124.144273163722,24347.0736576846,38293060.0,125.04672958233999,22960228,15051507,60.403,39.597,Poland,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427,Poland,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427
45,Russia,RUS,2014,8.78187748941037,25284.586201985498,143761378.0,8.77831832334262,106354643,37465023,73.95,26.049999,Russia,93.0,39.0,36.0,95.0,81.360201511335,19.866071428571427,Russia,93.0,39.0,36.0,95.0,81.360201511335,19.866071428571427
46,Rwanda,RWA,2014,459.88475881637606,1629.8688658482902,11345357.0,459.88475881637606,1924967,9420390,16.967,83.032997,Rwanda,,,,,18.387909319899244,37.27678571428571,Rwanda,,,,,18.387909319899244,37.27678571428571
47,Saudi Arabia,SAU,2014,14.3168187040922,49958.4433361471,30776722.0,14.3168187040922,25532369,5244353,82.96,17.040001,Saudi Arabia,,,,,35.51637279596977,52.232142857142854,Saudi Arabia,,,,,35.51637279596977,52.232142857142854
48,South Korea,KOR,2014,520.585340582684,33425.689593141804,50385560.0,518.210017484316,41463573,9283086,81.707,18.292999,Korea South,60.0,18.0,39.0,85.0,100.0,29.46428571428571,Korea South,60.0,18.0,39.0,85.0,100.0,29.46428571428571
49,Suriname,SUR,2014,3.51235897435897,15306.692436763899,547928.0,3.51235897435897,362120,185808,66.089,33.910999,Suriname,85.0,47.0,37.0,92.0,,,Suriname,85.0,47.0,37.0,92.0,,
50,Sweden,SWE,2014,23.8052343423928,44167.631866989104,9689376.0,23.613042842520798,8362604,1333506,86.24700000000001,13.753,Sweden,31.0,71.0,5.0,29.0,52.896725440806044,77.67857142857142,Sweden,31.0,71.0,5.0,29.0,52.896725440806044,77.67857142857142
51,Thailand,THA,2014,133.916835326587,14857.202932021,68416772.0,133.916835326587,32116885,36299887,46.943000000000005,53.056999,Thailand,64.0,20.0,34.0,64.0,31.738035264483624,45.08928571428571,Thailand,64.0,20.0,34.0,64.0,31.738035264483624,45.08928571428571
52,Turkey,TUR,2014,100.08787079505699,22401.880431139398,77030628.0,100.08787079505699,56291672,20738956,73.077,26.923000000000002,Turkey,66.0,37.0,45.0,85.0,45.59193954659949,49.107142857142854,Turkey,66.0,37.0,45.0,85.0,45.59193954659949,49.107142857142854
53,Uganda,UGA,2014,193.663165769001,1637.2750813846399,38833338.0,194.35132375757,8350721,30482617,21.504,78.496002,Uganda,,,,,23.67758186397985,52.45535714285714,Uganda,,,,,23.67758186397985,52.45535714285714
54,Ukraine,UKR,2014,78.15074832985209,8243.47351509088,44883426.0,77.47605123247949,31223156,14048791,68.968,31.031999999999996,Ukraine,,,,,86.39798488664987,14.285714285714285,Ukraine,,,,,86.39798488664987,14.285714285714285
55,United Kingdom,GBR,2014,267.073781672385,38251.7924802929,65015686.0,268.737593518786,53218629,11394531,82.365,17.635,Great Britain,35.0,89.0,66.0,35.0,51.1335012594458,69.4196428571428,Great Britain,35.0,89.0,66.0,35.0,51.1335012594458,69.4196428571428
56,United States,USA,2014,34.831955349158605,51921.9846391384,317718779.0,34.7331574367417,259623192,58999333,81.483,18.517,U.S.A.,40.0,91.0,62.0,46.0,25.6926952141058,68.0803571428571,U.S.A.,40.0,91.0,62.0,46.0,25.6926952141058,68.0803571428571
57,Venezuela,VEN,2014,34.8487931523156,16745.0219796981,30738378.0,34.8487931523156,27094036,3644342,88.14399999999999,11.856,Venezuela,81.0,12.0,73.0,76.0,15.61712846347607,99.99999999999999,Venezuela,81.0,12.0,73.0,76.0,15.61712846347607,99.99999999999999
