,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Unnamed: 0,Life_Expectancy(2016),Median_age(2017),%_total_population_in_urban_agglomerations>million(2017),Population_in_urban_areas>million(2017),%_population_in_urban_areas(2016),Urban_Land_area(sq.km)(2010),Entity,Date, (cases),Number of days since the 100th confirmed case (days)
53,Singapore,SGP,2014,7714.702397743299,80903.5346542296,5448342.0,7783.34571428571,5469724,0,100.0,0.0,74.0,20.0,48.0,8.0,71.53652392947103,45.535714285714285,79,82.79512195,40.0,100.0,5708844,100.0,565.5597534,Singapore,"Apr 13, 2020",2532.0,43.0
54,South Africa,ZAF,2014,44.9592124244697,12389.7146679241,54539571.0,44.9592124244697,35075489,19464082,64.312,35.688,,,,,34.0,63.0,81,62.774,26.1,35.0498974243349,19879305,65.34100000000001,53460.3125,South Africa,"Apr 13, 2020",2173.0,25.0
55,South Korea,KOR,2014,520.585340582684,33425.689593141804,50385560.0,518.210017484316,41463573,9283086,81.707,18.292999,60.0,18.0,39.0,85.0,100.0,29.46428571428571,82,82.02439024,40.799999,50.052602483715496,25760173,81.562,21922.01563,South Korea,"Apr 13, 2020",10537.0,52.0
56,Spain,ESP,2014,92.9227364506907,31195.405242203502,46521827.0,93.26749599037691,36890017,9590865,79.366,20.634001,57.0,51.0,42.0,86.0,47.60705289672544,43.52678571428571,83,82.83170732,43.200001,25.3900259615063,11824650,79.84,69794.58594,Spain,"Apr 13, 2020",166019.0,41.0
57,Sweden,SWE,2014,23.8052343423928,44167.631866989104,9689376.0,23.613042842520798,8362604,1333506,86.24700000000001,13.753,31.0,71.0,5.0,29.0,52.896725440806044,77.67857142857142,85,82.20487805,40.900002,15.427289370885902,1553180,86.852,31152.320310000006,Sweden,"Apr 13, 2020",10483.0,37.0
58,Switzerland,CHE,2014,207.223630934305,57218.0279263612,8229629.0,208.260679218544,6034707,2153942,73.696,26.304001,34.0,68.0,70.0,58.0,73.551637279597,66.0714285714286,86,82.89756098,42.200001,16.0174140921286,1356037,73.73899999999998,7898.148926000002,Switzerland,"Apr 13, 2020",25220.0,37.0
59,Tanzania,TZA,2014,58.96914540528339,2402.0993456211,52234869.0,58.96914540528339,16142664,36092205,30.904,69.096001,,,,,34.005037783375315,38.39285714285714,87,65.675,17.299999,11.628568819703199,6664335,32.333,3405.80542,Tanzania,"Apr 13, 2020",32.0,
60,Thailand,THA,2014,133.916835326587,14857.202932021,68416772.0,133.916835326587,32116885,36299887,46.943000000000005,53.056999,64.0,20.0,34.0,64.0,31.738035264483624,45.08928571428571,88,75.303,37.799999,19.6848429345941,13589926,48.448,36597.01563,Thailand,"Apr 13, 2020",2579.0,28.0
61,Turkey,TUR,2014,100.08787079505699,22401.880431139398,77030628.0,100.08787079505699,56291672,20738956,73.077,26.923000000000002,66.0,37.0,45.0,85.0,45.59193954659949,49.107142857142854,91,75.755,29.9,36.97305418959579,29853900,74.134,44090.15625,Turkey,"Apr 13, 2020",56956.0,25.0
62,Ukraine,UKR,2014,78.15074832985209,8243.47351509088,44883426.0,77.47605123247949,31223156,14048791,68.968,31.031999999999996,,,,,86.39798488664987,14.285714285714285,92,71.47634146,40.299999,12.011516365213804,5384902,69.154,32160.1582,Ukraine,"Apr 13, 2020",2777.0,18.0
63,United Kingdom,GBR,2014,267.073781672385,38251.7924802929,65015686.0,268.737593518786,53218629,11394531,82.365,17.635,35.0,89.0,66.0,35.0,51.1335012594458,69.4196428571428,94,80.95609756,40.200001,26.727486343888803,17646094,82.88600000000002,58698.75,United Kingdom,"Apr 13, 2020",84279.0,38.0
64,United States,USA,2014,34.831955349158605,51921.9846391384,317718779.0,34.7331574367417,259623192,58999333,81.483,18.517,40.0,91.0,62.0,46.0,25.6926952141058,68.0803571428571,95,78.6902439,37.599998,45.8963285238304,149493144,81.862,802053.5923,United States,"Apr 13, 2020",557571.0,41.0
65,Uruguay,URY,2014,19.5380299394355,19827.5649886027,3419546.0,19.5380299394355,3246688,172858,94.945,5.0549998,61.0,36.0,38.0,100.0,26.19647355163728,53.34821428571428,96,77.493,34.900002,49.9629709987705,1727095,95.144,4689.679688,Uruguay,"Apr 13, 2020",512.0,23.0
66,Venezuela,VEN,2014,34.8487931523156,16745.0219796981,30738378.0,34.8487931523156,27094036,3644342,88.14399999999999,11.856,81.0,12.0,73.0,76.0,15.61712846347607,99.99999999999999,97,74.545,27.4,28.8773875901369,9234141,88.165,34403.92578,Venezuela,"Apr 13, 2020",181.0,18.0
67,Vietnam,VNM,2014,298.464588641275,5264.82809971072,92544915.0,298.464588641275,30646249,61898666,33.115,66.885002,70.0,20.0,40.0,30.0,57.178841309823675,35.49107142857142,98,76.253,30.4,16.2083738046991,15485610,34.51,7589.041504000002,Vietnam,"Apr 13, 2020",262.0,21.0
