countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop
Cayman Islands,CYM,15-Apr-20,60,1,6,53,3,913,15,636,9677,65717
Curaçao,CUW,15-Apr-20,14,1,10,3,,85,6,230,1402,164706
Cuba,CUB,15-Apr-20,814,24,151,639,15,72,2,20451,1806,11305556
Costa Rica,CRI,15-Apr-20,626,4,67,555,11,123,0.8,9089,1784,5089431
Cabo Verde,CPV,15-Apr-20,56,1,1,54,,101,2,,,554455
Colombia,COL,15-Apr-20,3105,131,452,2522,106,61,3,45423,893,50901639
Congo,COD,15-Apr-20,117,5,11,101,,21,0.9,,,5571429
Cameroon,CMR,15-Apr-20,848,17,165,666,,32,0.6,,,26500000
China,CHN,15-Apr-20,82341,3342,77892,1107,95,57,2,,,1444578947
Chile,CHL,15-Apr-20,8273,94,2937,5242,389,433,5,91873,4806,19106236
Switzerland,CHE,15-Apr-20,26336,1239,15400,9697,386,3043,143,199000,22993,8654617
Canada,CAN,15-Apr-20,28379,1010,8979,18390,557,752,27,467736,12393,37738032
Botswana,BWA,15-Apr-20,13,1,,12,,6,0.4,3441,1463,2166667
Bhutan,BTN,15-Apr-20,5,,2,3,,6,,1166,1511,833333
Brunei,BRN,15-Apr-20,136,1,108,27,2,311,2,10579,24182,437299
Barbados,BRB,15-Apr-20,75,5,15,55,4,261,17,900,3132,287356
Brazil,BRA,15-Apr-20,28912,1760,14026,13126,296,136,8,62985,296,212588235
Bolivia,BOL,15-Apr-20,441,29,14,398,3,38,2,2185,187,11605263
Bermuda,BMU,15-Apr-20,81,5,33,43,3,1301,80,527,8462,62260
Belize,BLZ,15-Apr-20,18,2,,16,1,45,5,567,1426,400000
Belarus,BLR,15-Apr-20,3728,36,203,3489,68,395,4,76198,8064,9437975
Saint Barth,BLM,15-Apr-20,6,,4,2,,607,,,,9885
Bosnia and Herzegovina,BIH,15-Apr-20,1110,41,253,816,4,338,12,13339,4066,3284024
Bahamas,BHS,15-Apr-20,53,8,6,39,1,135,20,,,392593
Bahrain,BHR,15-Apr-20,1671,7,663,1001,3,982,4,72647,42694,1701629
Bulgaria,BGR,15-Apr-20,747,36,105,606,31,108,5,18502,2663,6916667
Bangladesh,BGD,15-Apr-20,1231,50,49,1132,1,7,0.3,14868,90,175857143
Burkina Faso,BFA,15-Apr-20,542,32,226,284,,26,2,,,20846154
Benin,BEN,15-Apr-20,35,1,18,16,,3,0.08,,,11666667
Belgium,BEL,15-Apr-20,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885
Burundi,BDI,15-Apr-20,5,1,,4,,0.4,0.08,,,12500000
Azerbaijan,AZE,15-Apr-20,1253,13,404,836,24,124,1,75397,7436,10104839
Austria,AUT,15-Apr-20,14350,393,8098,5859,232,1593,44,156801,17410,9008161
Australia,AUS,15-Apr-20,6462,63,3702,2697,76,253,2,377024,14785,25541502
