,Entity,Code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,medianAge,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,casesPop,logcasesPop,logcasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
20,Israel,ISR,387.250462107209,32024.3527705394,8064547.0,7724692,655408,92.179,7.821000099999999,82.05121951219509,1,World,142,Asia,145,Western Asia,,,Israel,376,,,,Developed,Israel,12501,130.0,2563.0,9808,180.0,1444.0,15.0,117339.0,13557.0,8657202,30.200001,13.0,54.0,47.0,81.0,38.0,,1586736000,11145.0,30.0,9.31874624581997,0.0012873674427372724,-6.655155887824093,7.275172319452771,1.6166430055898322e-06,-2555.367765287519,0.9594156654549866,1.3401028282159238e-18,8.534321079173991e-08,1.6166430055898322e-06,-2571.341667421163,0.9594156654549868,1.3401028282158092e-18,8.534321079173967e-08
21,Italy,ITA,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,1,World,150,Europe,39,Southern Europe,,,Italy,380,,,,Developed,Italy,165155,21645.0,38092.0,105418,3079.0,2732.0,358.0,1117404.0,18481.0,60452050,45.900002,50.0,76.0,70.0,75.0,61.0,30.0,1585094400,69176.0,30.0,11.144409260640266,0.001144311896784311,-6.772951786134034,7.912789220690681,1.4588575246454099e-06,-2301.920838376891,0.9411976605678103,3.2519369309215926e-25,7.405923481036609e-08,1.4588575246454099e-06,-2319.838199423665,0.9411976605678103,3.2519369309215926e-25,7.405923481036609e-08
22,Japan,JPN,348.751920122888,37882.980624441,127974958.0,116182717,10958283,91.381,8.619000400000001,83.79390243902441,1,World,142,Asia,30,Eastern Asia,,,Japan,392,,,,Developed,Japan,8626,178.0,901.0,7547,168.0,68.0,1.0,94236.0,745.0,126852941,46.299999,54.0,46.0,95.0,92.0,88.0,42.0,1584921600,1089.0,30.0,6.9930151229329605,8.584743809763149e-06,-11.665523905671852,4.219507705176107,8.721739839415244e-07,-1375.2232903086972,0.9951908527036879,3.7777388334528637e-54,1.1904779138281848e-08,8.721739839415249e-07,-1393.8818293373029,0.9951908527036885,3.7777388334416416e-54,1.1904779138281158e-08
23,Kuwait,KWT,220.863860830527,68476.3250405689,3935794.0,3935794,0,100.0,0.0,74.577,1,World,142,Asia,145,Western Asia,,,Kuwait,414,,,,Developing,Kuwait,1405,3.0,206.0,1196,31.0,329.0,0.7,,,4270517,33.400002,90.0,25.0,40.0,80.0,,,1586736000,1234.0,30.0,7.1180162044653335,0.00028895798799068124,-8.149229250693583,5.796057750765372,9.647099256334694e-07,-1523.818645958772,0.9789844926016713,5.696885489706771e-23,3.609368493594419e-08,9.647099256334696e-07,-1539.0858914139314,0.9789844926016715,5.69688548970584e-23,3.6093684935944e-08
24,Malaysia,MYS,93.51135291432051,25001.6126731494,30723155.0,22800575,7922580,74.21300000000001,25.787001,75.143,1,World,142,Asia,35,South-eastern Asia,,,Malaysia,458,,,,Developing,Malaysia,5072,83.0,2647.0,2342,56.0,157.0,3.0,87183.0,2694.0,32305732,27.700001,104.0,26.0,50.0,36.0,41.0,57.0,1586390400,4119.0,30.0,8.323365694436081,0.0001275005933931477,-8.96738953931272,5.056245805348308,1.1757863921310896e-06,-1856.7739808469194,0.9402196398429511,6.014679963283675e-18,7.198960663452822e-08,1.1757863921310896e-06,-1874.0647360806681,0.940219639842951,6.014679963283805e-18,7.198960663452829e-08
25,Netherlands,NLD,502.81754229741796,46494.3642578078,16938499.0,15275237,1664686,90.17299999999999,9.826999699999998,81.509756097561,1,World,150,Europe,155,Western Europe,,,Netherlands,528,,,,Developed,Netherlands,28153,3134.0,250.0,24769,1279.0,1643.0,183.0,140845.0,8220.0,17135119,42.099998,38.0,80.0,14.0,53.0,67.0,68.0,1586131200,17851.0,30.0,9.789814808047552,0.0010417785835044391,-6.866825850068901,7.404279118037268,1.5278242214331823e-06,-2413.567510181436,0.9673319616601914,2.984602607437672e-24,6.495407570023039e-08,1.5278242214331819e-06,-2430.224150839552,0.9673319616601911,2.984602607438267e-24,6.495407570023067e-08
26,Norway,NOR,14.210294459883098,64008.2868303461,5199836.0,4208817,981422,81.09100000000001,18.909000000000002,82.3048780487805,1,World,150,Europe,154,Northern Europe,,,Norway,578,,,,Developed,Norway,6798,150.0,32.0,6616,64.0,1254.0,28.0,130216.0,24020.0,5421053,39.200001,31.0,69.0,8.0,50.0,35.0,55.0,1586131200,5640.0,30.0,8.637639344492104,0.0010403882788085636,-6.868161290496528,7.134093721192866,1.1044544208364808e-06,-1743.192024785346,0.9312160921371211,3.0306035787786834e-18,7.012362943751682e-08,1.1044544208364813e-06,-1758.6978254203352,0.9312160921371214,3.0306035787784022e-18,7.012362943751669e-08
27,Philippines,PHL,341.13545628332804,6874.58256551739,101716359.0,47078400,54637959,46.284,53.716,68.95100000000001,1,World,142,Asia,35,South-eastern Asia,,,Philippines,608,,,,Developing,Philippines,5453,349.0,353.0,4751,1.0,50.0,3.0,45486.0,415.0,109060000,24.1,94.0,32.0,64.0,44.0,27.0,42.0,1586822400,4932.0,30.0,8.503499864284235,4.5222813130386945e-05,-10.003908883177955,3.912023005428146,1.5427181264634953e-06,-2439.0693615698424,0.9767015367406442,1.3133238476102621e-21,6.188683492004655e-08,1.5427181264634953e-06,-2457.5767703173046,0.9767015367406441,1.3133238476103558e-21,6.188683492004664e-08
28,Poland,POL,124.061569613639,25299.9743484897,38265226.0,22897449,15088963,60.278,39.722,77.4512195121951,1,World,150,Europe,151,Eastern Europe,,,Poland,616,,,,Developed,Poland,7582,286.0,668.0,6628,160.0,200.0,8.0,156493.0,4135.0,37910000,39.700001,68.0,60.0,64.0,93.0,38.0,29.0,1586822400,6934.0,30.0,8.844192126244968,0.00018290688472698496,-8.606533361247548,5.298317366548036,1.5442728868601409e-06,-2441.2400306017225,0.9783566462172457,4.396385865661028e-22,5.96321944990548e-08,1.544272886860141e-06,-2458.690756089216,0.9783566462172457,4.396385865661028e-22,5.963219449905481e-08
29,Portugal,PRT,113.072025849835,26607.8331233896,10418473.0,6578828,3779248,63.513999999999996,36.486,81.1243902439025,1,World,150,Europe,39,Southern Europe,,,Portugal,620,,,,Developed,Portugal,18091,599.0,383.0,17109,208.0,1774.0,59.0,208314.0,20430.0,10197858,43.900002,63.0,27.0,31.0,104.0,28.0,33.0,1586736000,16585.0,30.0,9.716253951381153,0.0016263219197600123,-6.421434304820259,7.480992162869525,1.7135875111965134e-06,-2708.7868591106085,0.9541022554609921,8.696080582809144e-18,9.660505099475902e-08,1.7135875111965132e-06,-2724.92454736681,0.9541022554609921,8.696080582809144e-18,9.660505099475902e-08
30,Qatar,QAT,213.741515934539,119749.42853615199,2481539.0,2455359,26180,98.945,1.0549998999999999,78.036,1,World,142,Asia,145,Western Asia,,,Qatar,634,,,,Developing,Qatar,3711,7.0,406.0,3298,37.0,1288.0,2.0,54484.0,18911.0,2881211,31.299999,93.0,25.0,55.0,80.0,,,1586563200,2512.0,30.0,7.828834527588089,0.0008718556190435203,-7.044886722255639,7.160845906664299,8.494853824919866e-07,-1340.0996114160848,0.9655147127651693,7.362988803488537e-21,3.9874487805696194e-08,8.494853824919869e-07,-1354.9733326659289,0.9655147127651695,7.36298880348775e-21,3.987448780569606e-08
