code,slope,intercept,rvalue,pvalue,stderr
IRN,0.4706859408673878,4.986839878492314,0.9991154994764384,1.1731657736811304e-06,0.009904978215296449
IRQ,0.09550175550903392,4.797282625048519,0.9741915844882334,0.000990516305549049,0.011064003507671047
ISL,0.1595427012590341,4.673822957918627,0.9784609085812548,0.0006909023468927712,0.016829875080779776
ISR,0.2642845653269579,4.863461591933829,0.9716133705973025,0.0011972641099380497,0.032174819068126616
ITA,0.36792894804568277,4.971591650664935,0.99374207139243,5.861997021722694e-05,0.0206780735263666
JOR,0.15313392383733157,4.709963547869295,0.9969315534861655,1.4108600741961132e-05,0.006011971895196827
JPN,0.10028928952833936,4.7162771050847,0.9632461560175102,0.0020014431971738375,0.01398382679367586
KEN,0.08943821916103127,4.69418776625056,0.9929181889760686,7.505048740701385e-05,0.005350527287735706
KGZ,0.12593402037793475,4.607589357371074,0.9279534223611613,0.007599077602130229,0.025289593076794053
KOR,0.37400444770213087,5.358157223082532,0.9509847860819307,0.0035448574832109,0.06080868260269261
KWT,0.07189715703102277,4.587524744064746,0.9949683767930144,3.791215475933565e-05,0.0036198827863235437
LKA,0.033499216935023265,4.601126571985437,0.9398501277632874,0.00531819936182598,0.006087619482691559
LTU,0.20966328544783902,4.719191239380695,0.9901469101585788,0.000145146783504894,0.014825916316140691
LUX,0.3577537688254408,5.0229098424213285,0.9899303738242768,0.00015158554016602273,0.025578506723159387
LVA,0.14544034023387045,4.692833979614325,0.9898240403390707,0.0001547983714311036,0.010454226705576681
MAR,0.22657592290404827,4.709391239784342,0.9976911561020612,7.989986271057983e-06,0.0077116817493350425
MDA,0.1520721665816626,4.692399615762013,0.9984757445113989,3.483261498647265e-06,0.004203011159152003
MEX,0.22437886958064757,4.8341051647325335,0.9942986034849044,4.866621875767726e-05,0.012031529663841486
MKD,0.13186439808253744,4.7561043345176675,0.9947836599482436,4.074433646607779e-05,0.006760826120850616
MLT,0.06098746640151266,4.706930170768333,0.9784672817725028,0.0006904950233556284,0.006432475681745859
MNE,0.1438784091903441,4.6905842702696425,0.9928359859961139,7.680080528026034e-05,0.008657691632197241
MYS,0.13940875413083,4.725478461429811,0.9850160053431722,0.00033509803985528735,0.012204291555282217
NGA,0.10333733562454846,4.828466891823581,0.98391134984901,0.0003861847649027208,0.009381930874951072
NLD,0.26175562186783663,4.946553271092428,0.9889887620357101,0.0001812035004842862,0.019584338387535493
NOR,0.2672349934040906,4.65217826450713,0.9609850599386317,0.002253554723179044,0.038459117070385546
NZL,0.2844804639209055,4.6629025977728285,0.9972615102519963,1.1238720736061454e-05,0.01054839587722453
PAK,0.27365673105425636,5.152126880685491,0.9683333934331474,0.0014882837327748995,0.03527778617842089
PAN,0.2412168660612531,4.730399833633792,0.987964647727199,0.00021640289788650867,0.01888295691817808
PER,0.23239800957812407,4.822811149687828,0.9750702143603875,0.0009244944593143698,0.02644338573366617
PHL,0.14336865490523823,4.73898758018722,0.9818167167096525,0.0004929417010632965,0.013859950809917972
POL,0.2550931665182807,4.637721258358301,0.9949932073121291,3.753920445696915e-05,0.012811477805728578
PRT,0.34159973940806876,4.766193269520646,0.9984263506338902,3.7126100203150744e-06,0.009593333886637214
QAT,0.10299365697448896,5.5600308897753585,0.9917855009988455,0.00010093984180345202,0.006641628077818885
ROU,0.186478089341742,4.774037110011536,0.9854707966688481,0.00031511308309476827,0.01606966076278864
RUS,0.2619898434123919,4.738213618294699,0.9974170539586781,9.998799173925575e-06,0.009433431793295248
RWA,0.01943838363124237,4.618929473796135,0.9463426003272051,0.004241431856032907,0.003318992094599745
SAU,0.17740847069263135,4.686219692846985,0.9623992485814972,0.0020941444793340846,0.025036927268620852
SEN,0.10193826435251993,4.663292282532333,0.9978138177013987,7.163865251842778e-06,0.0033758132889226454
SGP,0.024843830793848755,4.6298398074163485,0.9862642206674138,0.00028171167484565015,0.0020803693714193227
SLV,0.0584144570312215,4.64905255995636,0.9062060307721459,0.012783395746236605,0.013628114620862036
SRB,0.14658738327863388,4.783877413887133,0.9870363235737504,0.0002509960420483197,0.011917919722613345
SVK,0.12524400004300865,4.696791153072392,0.9673081918795572,0.001585661721726795,0.01641790502757492
SVN,0.1410085588663336,5.037892110946573,0.9644254986159801,0.0018758071542600756,0.019325644500518043
SWE,0.23984633264394276,4.858797883134778,0.9922033274111383,9.094518271688256e-05,0.015063430448429876
THA,0.1820995443236829,4.79872901488902,0.8992944759689985,0.014701746154856877,0.04427919707024002
TTO,0.01320463520234372,4.61430642740088,0.9631618363654173,0.0020105798294471422,0.001843419527479646
TUR,0.4130125719657514,5.458831481094404,0.9752889779784686,0.0009084072113835552,0.04678004485341604
UKR,0.3012618728903938,4.765311874000164,0.9935138883526446,6.296803224798466e-05,0.017240191135378346
URY,0.12661437002312204,4.746395888457245,0.9847927989253588,0.00034513004599993566,0.011168384842234253
USA,0.3013249835643397,4.559482375223047,0.9940805518746949,5.245609082739441e-05,0.01646628117040284
VEN,0.04365892564516243,4.654004883611592,0.9240546708532158,0.008432524856439198,0.00903035077813006
VNM,0.0728629606902943,4.757552213252367,0.9926149800969166,8.160639442937145e-05,0.004452290816568516
ZAF,0.2336976248183517,4.778665035069139,0.9901807380214646,0.00014415348236641642,0.01649664056563567
