,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
20,Czech Republic,CZE,136.57160062160102,30605.420521147098,10603762.0,7748928,2797131,73.477,26.523001,78.57804878048779,41.400002,World,150,Europe,151,Eastern Europe,,Czech Republic,203,Developed,Czech Republic,6301,166.0,819.0,5316,84.0,588.0,16.0,137672.0,12856.0,10715986,57.0,58.0,57.0,74.0,70.0,29.0,Czech Republic,1584921600,1165.0,10.0,7.060476365999801,0.0001087160808160817,-9.12677083718835,6.376726947898627,0.23212003237581408,4.86768794631581,0.9939412621221942,6.08642775540063e-10,0.00855614054649049,0.23212003237581408,-11.319559256872338,0.9939412621221942,6.08642775540063e-10,0.008556140546490492
21,Denmark,DNK,135.353250773994,45458.697148830994,5688695.0,4974525,708958,87.52600000000001,12.474,80.7024390243902,41.599998,World,150,Europe,154,Northern Europe,,Denmark,208,Developed,Denmark,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,18.0,74.0,16.0,23.0,35.0,70.0,Denmark,1584662400,1151.0,10.0,7.048386408721883,0.00019863838649714582,-8.524024539546316,7.050122520269059,0.18318758625324455,5.545977098446922,0.8531936060733056,0.0008392451092481591,0.03733017926533291,0.1831875862532446,-10.026433849821276,0.8531936060733056,0.0008392451092481591,0.03733017926533292
22,Dominican Republic,DOM,217.934050921134,13395.916802055,10528394.0,8271738,2256656,78.566,21.434,73.673,26.1,World,19,Americas,419,Latin America and the Caribbean,Caribbean,Dominican Republic,214,Developing,Dominican Republic,3614,189.0,208.0,3217,143.0,333.0,17.0,9275.0,855.0,10852853,65.0,30.0,65.0,45.0,13.0,54.0,Dominican Republic,1585699200,1109.0,10.0,7.011213987350367,0.00010218511206223838,-9.188724565344021,5.808142489980444,0.2115569382937096,5.028188535277819,0.9827449673820776,6.6492257287521e-08,0.013272615410124516,0.21155693829370964,-11.17175001741657,0.9827449673820776,6.6492257287521e-08,0.013272615410124517
23,Ecuador,ECU,65.0038975680464,10749.1288738874,16144368.0,10235206,5909162,63.398,36.602001,76.102,26.6,World,19,Americas,419,Latin America and the Caribbean,South America,Ecuador,218,Developing,Ecuador,7858,388.0,780.0,6690,135.0,445.0,22.0,26093.0,1479.0,17658427,78.0,8.0,63.0,67.0,,,Ecuador,1585353600,1627.0,10.0,7.394493107219038,9.213731211732506e-05,-9.292230570606284,6.09807428216624,0.27098458986649054,4.985427051735125,0.9659816221787415,1.3766908659353083e-06,0.024182489214053315,0.27098458986649054,-11.701296626090196,0.9659816221787415,1.3766908659353083e-06,0.024182489214053315
24,Egypt,EGY,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,World,2,Africa,15,Northern Africa,,Egypt,818,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0,Egypt,1585180800,442.0,10.0,6.091309882077698,4.234730538922155e-06,-12.372190859057596,3.1780538303479458,0.13063438455105092,4.795839170836712,0.9864401762444989,2.2599787444261405e-08,0.007244864449499981,0.13063438455105095,-13.667661570298584,0.9864401762444988,2.2599787444262222e-08,0.007244864449500014
25,Estonia,EST,31.0310686482661,27549.581369737796,1315321.0,899949,415458,68.416,31.584,77.590243902439,41.599998,World,150,Europe,154,Northern Europe,,Estonia,233,Developed,Estonia,1400,35.0,117.0,1248,10.0,1055.0,26.0,33967.0,25606.0,1327014,40.0,60.0,30.0,60.0,82.0,16.0,Estonia,1585094400,369.0,10.0,5.910796644040527,0.0002780679028254412,-8.187645219331202,6.961296045910167,0.09833010885155065,5.026192320299661,0.9421267959409401,1.452718589113748e-05,0.011663622708085658,0.09833010885155065,-9.072249543072068,0.94212679594094,1.4527185891137585e-05,0.011663622708085674
26,Finland,FIN,18.030110888091897,38941.7636030551,5481966.0,4669930,809601,85.225,14.775,81.4804878048781,42.5,World,150,Europe,154,Northern Europe,,Finland,246,Developed,Finland,3237,72.0,300.0,2865,75.0,584.0,13.0,48828.0,8813.0,5542808,33.0,63.0,26.0,59.0,38.0,57.0,Finland,1584921600,626.0,10.0,6.439350371100098,0.00011293914564603356,-9.088661418419406,6.369900982828227,0.13300586859688698,5.084819794540507,0.9955022084954085,1.596291635599485e-10,0.0042192289022891325,0.133005868596887,-10.443191994978998,0.9955022084954086,1.5962916355993035e-10,0.0042192289022890805
27,France,FRA,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,41.200001,World,150,Europe,155,Western Europe,,France,250,Developed,France,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,68.0,71.0,43.0,86.0,63.0,48.0,France,1583884800,1784.0,10.0,7.486613313139955,2.7327728922654225e-05,-10.507608659806674,7.725330037917135,0.29711018928742927,4.557065732063974,0.9978724753200852,5.514761850523245e-12,0.006470568408174592,0.29711018928742916,-13.437156240882652,0.997872475320085,5.51476185052456e-12,0.00647056840817476
28,Georgia,GEO,65.0320165156234,9025.133142656121,3951524.0,2135400,1581700,57.448,42.551998,73.096,38.0,World,142,Asia,145,Western Asia,,Georgia,268,Developing,Georgia,306,3.0,71.0,232,6.0,77.0,0.8,5027.0,1260.0,3974026,,,,,38.0,32.0,Georgia,1586563200,234.0,10.0,5.455321115357702,5.888235255632449e-05,-9.739969129241217,4.343805421853684,0.07947871979620183,4.708056160270144,0.9859243065404484,2.67148539574206e-08,0.004492646837740198,0.07947871979620184,-10.487234084328774,0.9859243065404485,2.6714853957419655e-08,0.0044926468377401805
29,Germany,DEU,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,45.900002,World,150,Europe,155,Western Europe,,Germany,276,Developed,Germany,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,35.0,67.0,66.0,65.0,83.0,40.0,Germany,1583884800,1296.0,10.0,7.16703787691222,1.546509538115476e-05,-11.076924984296648,7.382746449738912,0.27392549311989955,4.6069842702021875,0.9869840117896176,1.8812571977852868e-08,0.014877735704652765,0.27392549311989955,-13.63697859100668,0.9869840117896176,1.8812571977852868e-08,0.014877735704652766
