DOM,"LinregressResult(slope=0.00017351572265247197, intercept=-274207.94911978766, rvalue=0.6735070085022767, pvalue=5.535453343894494e-14, stderr=1.964189958550301e-05)"
DZA,"LinregressResult(slope=0.00011662906701556589, intercept=-184317.9575741252, rvalue=0.6574860780474374, pvalue=1.0816314425537357e-13, stderr=1.3501165510669348e-05)"
ECU,"LinregressResult(slope=0.0004019177484273409, intercept=-635180.5348259609, rvalue=0.6612692903706886, pvalue=6.979969376257636e-14, stderr=4.6056729676431684e-05)"
EGY,"LinregressResult(slope=0.00011891491906474485, intercept=-187925.19077222433, rvalue=0.6930581212653119, pvalue=9.68850199493194e-16, stderr=1.2431201255441311e-05)"
ESP,"LinregressResult(slope=0.012302444858164199, intercept=-19442895.4535386, rvalue=0.7050467600303565, pvalue=4.665161031883875e-17, stderr=0.0012192692641217085)"
EST,"LinregressResult(slope=0.00010742614811178958, intercept=-169761.71113767425, rvalue=0.7594980922485722, pvalue=5.253160373906256e-20, stderr=9.294455270483049e-06)"
ETH,"LinregressResult(slope=2.6097670250896055e-05, intercept=-41350.93548387097, rvalue=0.9494618790549716, pvalue=3.928639980841459e-16, stderr=1.602109245937645e-06)"
FIN,"LinregressResult(slope=nan, intercept=nan, rvalue=nan, pvalue=nan, stderr=nan)"
FJI,"LinregressResult(slope=8.057336182336182e-06, intercept=-12768.111538461537, rvalue=0.9569355391655532, pvalue=7.575084377124271e-14, stderr=5.096741998473718e-07)"
FRA,"LinregressResult(slope=0.006868807282427566, intercept=-10855476.35758864, rvalue=0.707250638423593, pvalue=3.3783540066131554e-17, stderr=0.0006765283356868399)"
GBR,"LinregressResult(slope=0.004446338220217937, intercept=-7027360.67098279, rvalue=0.6338341924524148, pvalue=3.945934338994244e-13, stderr=0.000534627265019757)"
GEO,"LinregressResult(slope=1.78614660764896e-05, intercept=-28226.108312483582, rvalue=0.747038616412745, pvalue=1.959015544366247e-19, stderr=1.5894702995285747e-06)"
GHA,"LinregressResult(slope=0.0001755702580792509, intercept=-278202.0722507708, rvalue=0.940840308843281, pvalue=3.6467814901788854e-15, stderr=1.1742048868473362e-05)"
GRC,"LinregressResult(slope=0.00017616072240441767, intercept=-278385.17244616133, rvalue=0.7634713233203712, pvalue=6.849838013697942e-21, stderr=1.4827972380279981e-05)"
GTM,"LinregressResult(slope=5.360122358175751e-05, intercept=-84936.0728216537, rvalue=0.9106426193201148, pvalue=2.9143404371174275e-12, stderr=4.596239612929108e-06)"
HKG,"LinregressResult(slope=0.0, intercept=0.0, rvalue=0.0, pvalue=1.0, stderr=0.0)"
HND,"LinregressResult(slope=0.0001714100430583303, intercept=-271604.7764250069, rvalue=0.9594345244487759, pvalue=1.7296044991506247e-17, stderr=9.353315558815774e-06)"
HRV,"LinregressResult(slope=0.0001148613587433506, intercept=-181522.3846671037, rvalue=0.7089081577543076, pvalue=7.648623201274558e-17, stderr=1.142768746041717e-05)"
HUN,"LinregressResult(slope=0.0004049036451478773, intercept=-641413.7829333608, rvalue=0.9219832993015334, pvalue=7.999747546532454e-17, stderr=2.7957373276854413e-05)"
IDN,"LinregressResult(slope=0.00024686299745634027, intercept=-390119.4261884125, rvalue=0.6959699143415787, pvalue=1.7970098120456556e-15, stderr=2.599544571087325e-05)"
IND,"LinregressResult(slope=0.0003983644618740609, intercept=-629614.7674822614, rvalue=0.5839856716359171, pvalue=7.660879000908744e-11, stderr=5.482871647998216e-05)"
IRL,"LinregressResult(slope=0.0005198689438137361, intercept=-821612.3868363337, rvalue=0.6612640248061525, pvalue=2.905420718789255e-14, stderr=5.868245613256362e-05)"
IRN,"LinregressResult(slope=0.006065022514609778, intercept=-9584399.060159652, rvalue=0.7825832755387634, pvalue=6.280725530625327e-23, stderr=0.0004753950229523774)"
