,Entity,code,date,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr
491,Honduras,HND,2015,80.0860577352757,4319.47011829831,8960829.0,4943241,4017588,55.165,44.834998999999996,73.376,23.0,1,World,19,Americas,419,Latin America and the Caribbean,13.0,,Honduras,340,,,,Developing,Honduras,426,35.0,9.0,382,10.0,43.0,4.0,1600.0,162.0,9906977,80.0,20.0,40.0,50.0,,
503,Hong Kong,HKG,2015,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,43.200001,1,World,142,Asia,30,Eastern Asia,,,Hong Kong,344,,,,Developed,Hong Kong,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,68.0,25.0,57.0,29.0,61.0,17.0
515,Hungary,HUN,2015,108.726698332045,25034.450730660497,9783925.0,6939335,2903693,70.5,29.5,75.56829268292691,41.700001,1,World,150,Europe,151,Eastern Europe,,,Hungary,348,,,,Developed,Hungary,1579,134.0,192.0,1253,58.0,163.0,14.0,37326.0,3864.0,9687117,46.0,80.0,88.0,82.0,58.0,31.0
527,Iceland,ISL,2015,3.29990024937656,43048.125145278704,330243.0,309974,20841,93.7,6.3000002,82.4682926829268,36.0,1,World,150,Europe,154,Northern Europe,,,Iceland,352,,,,Developed,Iceland,1727,8.0,1077.0,642,8.0,5061.0,23.0,37386.0,109558.0,341237,30.0,60.0,10.0,50.0,28.0,67.0
539,India,IND,2015,440.28601602992103,5756.66466489307,1309053980.0,429068623,879985357,32.777,67.223,68.30199999999999,26.700001,1,World,142,Asia,34,Southern Asia,,,India,356,,,,Developing,India,12370,422.0,1508.0,10440,,9.0,0.3,274599.0,199.0,1374444444,77.0,48.0,56.0,40.0,51.0,26.0
551,Indonesia,IDN,2015,142.507390274734,10367.7019920006,258162113.0,137633967,120528146,53.313,46.687,69.025,28.0,1,World,142,Asia,35,South-eastern Asia,,,Indonesia,360,,,,Developing,Indonesia,5136,469.0,446.0,4221,,19.0,2.0,36000.0,132.0,270315789,78.0,14.0,46.0,48.0,62.0,38.0
563,Iran,IRN,2015,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,1,World,142,Asia,34,Southern Asia,,,Iran,364,,,,Developing,Iran,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,58.0,41.0,43.0,59.0,14.0,40.0
575,Iraq,IRQ,2015,83.1544690550746,15072.8686710974,36115649.0,25252423,10863226,69.921,30.079,69.672,19.4,1,World,142,Asia,145,Western Asia,,,Iraq,368,,,,Developing,Iraq,1415,79.0,812.0,524,,35.0,2.0,46135.0,1147.0,40428571,95.0,30.0,70.0,85.0,25.0,17.0
587,Ireland,IRL,2015,68.2531136594571,60818.046239853604,4700107.0,2940510,1761447,62.538000000000004,37.462002000000005,81.45365853658541,36.900002,1,World,150,Europe,154,Northern Europe,,,Ireland,372,,,,Developed,Ireland,12547,444.0,77.0,12026,158.0,2541.0,90.0,90646.0,18358.0,4937820,28.0,70.0,68.0,35.0,24.0,65.0
597,Israel,ISR,2015,387.250462107209,32024.3527705394,8064547.0,7724692,655408,92.179,7.821000099999999,82.05121951219509,30.200001,1,World,142,Asia,145,Western Asia,,,Israel,376,,,,Developed,Israel,12501,130.0,2563.0,9808,180.0,1444.0,15.0,117339.0,13557.0,8657202,13.0,54.0,47.0,81.0,38.0,
609,Italy,ITA,2015,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,45.900002,1,World,150,Europe,39,Southern Europe,,,Italy,380,,,,Developed,Italy,165155,21645.0,38092.0,105418,3079.0,2732.0,358.0,1117404.0,18481.0,60452050,50.0,76.0,70.0,75.0,61.0,30.0
621,Jamaica,JAM,2015,265.18319482917803,8095.26186704479,2871934.0,1574768,1297166,54.833,45.167,75.836,29.4,1,World,19,Americas,419,Latin America and the Caribbean,29.0,Caribbean,Jamaica,388,,,1.0,Developing,Jamaica,125,5.0,21.0,99,,42.0,2.0,1391.0,470.0,2976190,45.0,39.0,68.0,13.0,,
633,Japan,JPN,2015,348.751920122888,37882.980624441,127974958.0,116182717,10958283,91.381,8.619000400000001,83.79390243902441,46.299999,1,World,142,Asia,30,Eastern Asia,,,Japan,392,,,,Developed,Japan,8626,178.0,901.0,7547,168.0,68.0,1.0,94236.0,745.0,126852941,54.0,46.0,95.0,92.0,88.0,42.0
645,Jordan,JOR,2015,103.16852894796101,8491.05031104045,9159302.0,8266820,892482,90.256,9.744000400000001,74.182,22.1,1,World,142,Asia,145,Western Asia,,,Jordan,400,,,,Developing,Jordan,401,7.0,250.0,144,5.0,39.0,0.7,20500.0,2009.0,10282051,70.0,30.0,45.0,65.0,16.0,43.0
657,Kenya,KEN,2015,82.99585163580142,2835.99661032872,47236259.0,12119879,35116380,25.658,74.342003,66.695,19.0,1,World,2,Africa,202,Sub-Saharan Africa,14.0,,Kenya,404,,,,Developing,Kenya,225,10.0,53.0,162,2.0,4.0,0.2,9630.0,179.0,56250000,70.0,25.0,60.0,50.0,,
669,Kuwait,KWT,2015,220.863860830527,68476.3250405689,3935794.0,3935794,0,100.0,0.0,74.577,33.400002,1,World,142,Asia,145,Western Asia,,,Kuwait,414,,,,Developing,Kuwait,1405,3.0,206.0,1196,31.0,329.0,0.7,,,4270517,90.0,25.0,40.0,80.0,,
681,Kyrgyzstan,KGZ,2015,31.0578727841502,3237.60293714448,5865401.0,2131200,3825700,35.777,64.223,70.6512195121951,25.299999,1,World,142,Asia,143,Central Asia,,,Kyrgyzstan,417,,1.0,,Developing,Kyrgyzstan,449,5.0,78.0,366,5.0,69.0,0.8,26147.0,4008.0,6507246,,,,,66.0,39.0
693,Latvia,LVA,2015,31.803264715342603,23018.8161056707,1992663.0,1344323,633204,67.98,32.02,74.4804878048781,42.5,1,World,150,Europe,154,Northern Europe,,,Latvia,428,,,,Developed,Latvia,666,5.0,44.0,617,3.0,353.0,3.0,29896.0,15850.0,1886686,44.0,70.0,9.0,63.0,69.0,13.0
705,Lithuania,LTU,2015,46.3702391214124,27045.713019289,2931926.0,1952971,951939,67.23,32.77,74.3219512195122,42.700001,1,World,150,Europe,154,Northern Europe,,,Lithuania,440,,,,Developed,Lithuania,1091,30.0,138.0,923,14.0,401.0,11.0,44677.0,16412.0,2720698,42.0,60.0,19.0,65.0,82.0,16.0
717,Luxembourg,LUX,2015,219.924324324324,94088.5922250508,566741.0,513663,55941,90.179,9.8210001,82.2926829268293,39.299999,1,World,150,Europe,155,Western Europe,,,Luxembourg,442,,,,Developed,Luxembourg,3373,69.0,526.0,2778,33.0,5388.0,110.0,30723.0,49080.0,626021,40.0,60.0,50.0,70.0,64.0,56.0
729,Macedonia,MKD,2015,82.4467882632831,12759.8166020197,2079308.0,1193689,885619,57.408,42.591999,75.54899999999999,37.400002,1,World,150,Europe,39,Southern Europe,,,Macedonia,807,,1.0,,Developed,Macedonia,974,45.0,98.0,831,15.0,468.0,22.0,9262.0,4446.0,2081197,,,,,62.0,35.0
741,Malawi,MWI,2015,186.398037759864,1088.70180507011,17573607.0,2866783,14706824,16.313,83.686996,62.661,17.4,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Malawi,454,1.0,1.0,,Developing,Malawi,16,2.0,,14,1.0,0.8,0.1,343.0,18.0,20000000,70.0,30.0,40.0,50.0,,
753,Malaysia,MYS,2015,93.51135291432051,25001.6126731494,30723155.0,22800575,7922580,74.21300000000001,25.787001,75.143,27.700001,1,World,142,Asia,35,South-eastern Asia,,,Malaysia,458,,,,Developing,Malaysia,5072,83.0,2647.0,2342,56.0,157.0,3.0,87183.0,2694.0,32305732,104.0,26.0,50.0,36.0,41.0,57.0
765,Mali,MLI,2015,14.315725419811699,1919.2284214274,17467905.0,6985590,10482315,39.991,60.008998999999996,57.478,16.0,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Mali,466,1.0,1.0,,Developing,Mali,148,13.0,34.0,101,,7.0,0.6,,,21142857,,,,,20.0,43.0
777,Malta,MLT,2015,1390.790625,34087.0815138045,427616.0,420192,24861,94.414,5.586,81.7975609756098,40.900002,1,World,150,Europe,39,Southern Europe,,,Malta,470,,,,Developed,Malta,399,3.0,44.0,352,4.0,904.0,7.0,20139.0,45611.0,441372,56.0,59.0,47.0,96.0,47.0,66.0
