globalName,regionName,subRegionName,country,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,regionCode,subRegionCode,interRegionName,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
World,Africa,Sub-Saharan Africa,Burkina Faso,Burkina Faso,BFA,66.1938011695906,1596.3345805199601,18110624.0,4985855,13124769,27.53,72.470001,59.927,17.0,2,202,Western Africa,854,Developing,Burkina Faso,542,32.0,226.0,284,,26.0,2.0,,,20846154,70.0,15.0,50.0,55.0,27.0,18.0,1586908800,528.0,20.0,6.269096283706261,2.5328413097207285e-05,-10.58358374505625,3.258096538021482,0.0730035579466031,4.956522069443028,0.9801598610990695,8.129047594864614e-15,0.003386825283494105,0.07300355794660311,-11.896157959319485,0.9801598610990696,8.12904759486418e-15,0.0033868252834940945
World,Africa,Sub-Saharan Africa,Burkina Faso,Burkina Faso,BFA,66.1938011695906,1596.3345805199601,18110624.0,4985855,13124769,27.53,72.470001,59.927,17.0,2,202,Western Africa,854,Developing,Burkina Faso,542,32.0,226.0,284,,26.0,2.0,,,20846154,70.0,15.0,50.0,55.0,27.0,18.0,1586044800,302.0,10.0,5.71042701737487,1.4487084763932954e-05,-11.142253011387643,3.258096538021482,0.09711019683456598,4.841558351860414,0.9766581723784481,2.567101331027056e-07,0.007119249380824271,0.09711019683456591,-12.011121676902098,0.9766581723784478,2.56710133102723e-07,0.0071192493808243185
World,Africa,Sub-Saharan Africa,Burkina Faso,Burkina Faso,BFA,66.1938011695906,1596.3345805199601,18110624.0,4985855,13124769,27.53,72.470001,59.927,17.0,2,202,Western Africa,854,Developing,Burkina Faso,542,32.0,226.0,284,,26.0,2.0,,,20846154,70.0,15.0,50.0,55.0,27.0,18.0,1585612800,222.0,5.0,5.402677381872279,1.0649446415871245e-05,-11.450002646890233,3.258096538021482,0.11913701668904042,4.784157920854711,0.9656065870431528,0.0017540181802566759,0.01603992901249231,0.11913701668904042,-12.0685221079078,0.9656065870431528,0.0017540181802566759,0.01603992901249231
World,Africa,Sub-Saharan Africa,Ghana,Ghana,GHA,121.221855497934,3926.70904479081,27582821.0,14918445,12664376,54.086000000000006,45.914001,62.448,20.4,2,202,Western Africa,288,Developing,Ghana,641,8.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0,30523810,80.0,15.0,40.0,65.0,4.0,72.0,1586131200,214.0,10.0,5.365976015021851,7.0109203274427405e-06,-11.868041577740293,3.044522437723423,0.05600180971769434,4.853560575313488,0.9576527914557313,3.6440366073092014e-06,0.005612456084083908,0.05600180971769446,-12.380457017448654,0.9576527914557316,3.644036607309111e-06,0.005612456084083904
World,Africa,Sub-Saharan Africa,Ghana,Ghana,GHA,121.221855497934,3926.70904479081,27582821.0,14918445,12664376,54.086000000000006,45.914001,62.448,20.4,2,202,Western Africa,288,Developing,Ghana,641,8.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0,30523810,80.0,15.0,40.0,65.0,4.0,72.0,1585699200,152.0,5.0,5.0238805208462765,4.979719111080825e-06,-12.210137071915868,3.044522437723423,0.031206068766345473,4.892515544972719,0.9405516233638238,0.005196115691155716,0.0056345472913883815,0.03120606876634555,-12.341502047789426,0.9405516233638238,0.005196115691155716,0.005634547291388395
World,Africa,Sub-Saharan Africa,Kenya,Kenya,KEN,82.99585163580142,2835.99661032872,47236259.0,12119879,35116380,25.658,74.342003,66.695,19.0,2,202,,404,Developing,Kenya,225,10.0,53.0,162,2.0,4.0,0.2,9630.0,179.0,56250000,70.0,25.0,60.0,50.0,,,1586736000,197.0,10.0,5.2832037287379885,3.502222222222222e-06,-12.562112870310814,1.3862943611198906,0.05969118041031894,4.7639300634223,0.9621991173325831,2.200391264893336e-06,0.00563179018846254,0.05969118041031901,-13.081386535626503,0.9621991173325831,2.200391264893336e-06,0.005631790188462547
World,Africa,Sub-Saharan Africa,Kenya,Kenya,KEN,82.99585163580142,2835.99661032872,47236259.0,12119879,35116380,25.658,74.342003,66.695,19.0,2,202,,404,Developing,Kenya,225,10.0,53.0,162,2.0,4.0,0.2,9630.0,179.0,56250000,70.0,25.0,60.0,50.0,,,1586304000,172.0,5.0,5.147494476813453,3.0577777777777778e-06,-12.697822122235351,1.3862943611198906,0.08943821916103127,4.69418776625056,0.9929181889760686,7.505048740701385e-05,0.005350527287735706,0.08943821916103153,-13.151128832798243,0.9929181889760691,7.505048740700448e-05,0.005350527287735551
World,Africa,Sub-Saharan Africa,Nigeria,Nigeria,NGA,198.932490090802,5670.63944311027,181181744.0,86673723,94508021,47.838,52.161999,52.985,17.9,2,202,Western Africa,566,Developing,Nigeria,407,12.0,128.0,267,2.0,2.0,0.06,5000.0,24.0,203500000,80.0,30.0,60.0,55.0,13.0,84.0,1586476800,288.0,10.0,5.662960480135946,1.4152334152334152e-06,-13.468216082710978,0.6931471805599453,0.0845994299433502,4.873417854239534,0.9873811648506974,1.637328672024038e-08,0.004522843512373552,0.08459942994335015,-14.257758708607389,0.9873811648506977,1.6373286720238454e-08,0.004522843512373489
World,Africa,Sub-Saharan Africa,Nigeria,Nigeria,NGA,198.932490090802,5670.63944311027,181181744.0,86673723,94508021,47.838,52.161999,52.985,17.9,2,202,Western Africa,566,Developing,Nigeria,407,12.0,128.0,267,2.0,2.0,0.06,5000.0,24.0,203500000,80.0,30.0,60.0,55.0,13.0,84.0,1586044800,210.0,5.0,5.3471075307174685,1.031941031941032e-06,-13.784069032129455,0.6931471805599453,0.10333733562454846,4.828466891823581,0.98391134984901,0.0003861847649027208,0.009381930874951072,0.10333733562454823,-14.302709671023344,0.98391134984901,0.0003861847649027208,0.009381930874951051
World,Africa,Sub-Saharan Africa,Rwanda,Rwanda,RWA,471.404661532225,1731.04342267746,11629553.0,1977489,9652064,17.004,82.996002,66.696,19.4,2,202,Eastern Africa,646,Developing,Rwanda,136,,54.0,82,,11.0,,6237.0,482.0,12363636,,,,,18.0,37.0,1586908800,134.0,10.0,4.897839799950911,1.0838235612889283e-05,-11.432430341539279,2.3978952727983707,0.02770683088096578,4.601614732672819,0.9844391955510385,4.186530637246594e-08,0.0016485860589323298,0.027706830880965767,-11.72865540881737,0.9844391955510385,4.186530637246594e-08,0.0016485860589323287
World,Africa,Sub-Saharan Africa,Rwanda,Rwanda,RWA,471.404661532225,1731.04342267746,11629553.0,1977489,9652064,17.004,82.996002,66.696,19.4,2,202,Eastern Africa,646,Developing,Rwanda,136,,54.0,82,,11.0,,6237.0,482.0,12363636,,,,,18.0,37.0,1586476800,113.0,5.0,4.727387818712341,9.139706151167828e-06,-11.60288232277785,2.3978952727983707,0.01943838363124237,4.618929473796135,0.9463426003272051,0.004241431856032907,0.003318992094599745,0.01943838363124232,-11.711340667694055,0.9463426003272066,0.004241431856032665,0.003318992094599682
