,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,globalCode,regionCode,subRegionCode,interRegionCode,m49,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,medianAge,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,casesPop,logcasesPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
subRegionCode,-0.24978859599110334,0.002222388911264892,-0.21241990590511625,-0.22581346144352157,-0.1924664544928485,-0.06648496534833347,0.06648495643896422,0.07425825060601406,,0.3087602103064134,1.0,,-0.0807614316128517,-0.052077615616283685,0.11459591848493778,0.2614492888063496,-0.07252529716804752,0.08296394394566704,0.2603767897973635,0.24536019276874876,-0.020729716059550197,0.01933624406545526,-0.21218057606440224,0.2138753368956286,-0.4171608163531683,0.5273188305356985,-0.009839475616879883,0.10458021840680025,0.07061276670587324,0.39037652242970944,0.31542364210782303,-0.07376639258395902,,0.3122837178370868,0.2157864433022782,0.4070198487920473,0.4612147237330822,-0.4613090601329437,0.2709843012423261,-0.18478390792422392,0.25897252122051967,0.46121472373308214,-0.4612046331914743,0.27098430124232603,-0.18478390792422392,0.25897252122052095
interRegionCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m49,0.11979630328678201,0.4812756448853824,-0.3455188525239786,-0.2953281926735596,-0.39810894222085996,0.3930791938002625,-0.39307916322660397,0.14667529299209323,,-0.47593093093673394,-0.0807614316128517,,1.0,0.46628898930011753,0.4493413363480084,-0.097568730575799,0.5362339820499391,0.41902102128452356,0.36083517912527346,0.2415680314977724,0.31967056181441944,-0.08132899486226637,-0.3446930122708394,-0.06897125639691931,-0.42113646090821627,0.3874157781549139,-0.09893000773090417,-0.2457696407410243,-0.44844581577144377,0.7443766483753893,0.5584242626854691,0.5010910273997898,,0.17970850149991144,0.43923411514135285,0.42531950058621837,0.5519492289163221,-0.5525418527108557,0.45923276430304205,-0.08144407622870241,0.09341757746390751,0.5519492289163218,-0.55213096583698,0.45923276430304066,-0.08144407622870241,0.09341757746391363
totalCases,-0.36430479142240835,0.07452848152039192,0.10123891909642636,0.19282508616672603,-0.002707916446481359,-0.20059036997596122,0.20059037370570104,-0.29640528435230157,,-0.8861603083039519,-0.052077615616283685,,0.46628898930011753,1.0,0.8221282345021345,0.40240345084335877,0.9828454953441783,0.9206508483668894,0.47902755893986376,0.2551401647910102,0.9126715137008381,0.07578652116860278,0.10198383714375218,-0.15165756126862653,-0.45624250257576643,0.6598619304101899,0.024981761434042495,0.020317095785875473,-0.5331919258912429,0.5788470724814538,0.19466023038229588,0.9956572142551872,,0.7024057667006124,0.4756999880511933,0.5006373422589101,0.7508846820819193,-0.7505154747434144,0.18467601146788656,-0.21414244530396473,0.555026485441452,0.7508846820819193,-0.7509845140463504,0.18467601146788656,-0.21414244530396473,0.5550264854414519
totalDeaths,-0.45526979054824723,-0.05842930798160456,-0.06437653650355456,-0.006296354516349752,-0.1262961792088489,-0.28631740544124384,0.2863174116262766,-0.07853081547970159,,-0.5273571677778763,0.11459591848493778,,0.4493413363480084,0.8221282345021345,1.0,0.4033869470050479,0.7847116672947546,0.837908000941336,0.8045409979581981,0.7369654902696127,0.6420583831257514,0.09024152237512685,-0.06386427123644613,0.011362503827145879,-0.4215200505695048,0.7938422336092297,-0.05766265865968553,0.22216393755866878,-0.5591697065416208,0.5483338458123695,0.28923192548546134,0.7999649320922408,,0.7793394535204993,0.7646052408536858,0.7261343218540904,0.8103144052417277,-0.8098625088270716,0.2612056117419526,-0.283583844093514,0.6810789899359474,0.8103144052417276,-0.810117508957522,0.26120561174195256,-0.283583844093514,0.6810789899359476
totalRecovered,-0.6041683428408944,-0.5478848895130465,0.4969419421982355,0.49792809144550615,0.4892677199842088,-0.7850784648765707,0.7850784774864166,-0.6305477259892386,,-0.08532335432208585,0.2614492888063496,,-0.097568730575799,0.40240345084335877,0.4033869470050479,1.0,0.2370953176624045,0.4576846772689138,0.48617809881141216,0.35332622629443816,0.5396581876071763,0.3295861849435521,0.4981238899763439,-0.2178778987413555,-0.261838290781091,0.3518926140606755,-0.0702067884071735,0.07569032255486481,-0.2621395835097735,0.14634769397481695,-0.32065001807918675,0.43003400574283873,,0.8315217974295235,0.5398054452458132,0.46576674067337337,0.4607522973246548,-0.45958820603269407,-0.29126622900271487,-0.3109350455702714,0.7480311729782174,0.4607522973246546,-0.46044567109435885,-0.2912662290027152,-0.3109350455702714,0.7480311729782181
activeCases,-0.27422097099673437,0.18668875724149936,0.018823093802659542,0.11669593424643535,-0.09128029532795043,-0.05752748638937955,0.0575274895209049,-0.2092980136181075,,-0.9287601629384918,-0.07252529716804752,,0.5362339820499391,0.9828454953441783,0.7847116672947546,0.2370953176624045,1.0,0.878603958958944,0.39431380461962157,0.1825980286638685,0.8896720684708184,0.01168313557011881,0.019447319388777716,-0.13247501710307621,-0.4685830597278514,0.6542607044085369,0.05446315405472621,-0.02220769603168264,-0.5195675036984745,0.6232308885811345,0.27177378488963017,0.9763229544700477,,0.5912003490744268,0.3884221751220472,0.4402108790600872,0.7224855476002322,-0.7223324338003617,0.254404894836517,-0.16911069275678187,0.4338296159347904,0.7224855476002321,-0.722681950289454,0.25440489483651696,-0.16911069275678187,0.43382961593479047
criticalCases,-0.4072342768405142,0.0275669166761931,-0.08956938152491696,-0.009624790865037097,-0.17671902263910488,-0.1554119037896238,0.15541190652131195,-0.21425801099020528,,-0.7194165250466654,0.08296394394566704,,0.41902102128452356,0.9206508483668894,0.837908000941336,0.4576846772689138,0.878603958958944,1.0,0.6718115640418815,0.43027490320878936,0.799048398620083,0.04349204541527524,-0.08882305965458677,-0.14376098852807404,-0.428282218082622,0.6656748980170383,-0.1763654510980628,0.21980893504803856,-0.6141560828729676,0.5808738717534048,0.36262184110171664,0.9046508057930693,,0.7314479800386198,0.6529418546039486,0.6553312077779253,0.8417208023570704,-0.841420624234276,0.2938746099653423,-0.2522480139656752,0.7086929564259472,0.8417208023570704,-0.8416873288769391,0.2938746099653424,-0.2522480139656752,0.7086929564259465
casesMPop,-0.37588212936322196,-0.05560664034144465,-0.2958195418274488,-0.2828284884418306,-0.30304046226442,-0.21301085962106694,0.21301086608183104,0.13606260581203453,,-0.06945515961392998,0.2603767897973635,,0.36083517912527346,0.47902755893986376,0.8045409979581981,0.48617809881141216,0.39431380461962157,0.6718115640418815,1.0,0.9219620922886506,0.3535600035656541,0.3201579284421742,-0.29545770521824927,0.21009706652625088,-0.37094125394992583,0.6239041534788421,-0.24488481584408606,0.3855652176093381,-0.42755523270926743,0.36974866303829407,0.42186251813669273,0.46395217128067584,,0.6777457518005201,0.9781323777249648,0.8585826665365939,0.7641722358150276,-0.7638576662072446,0.33240867753934844,-0.28877819315215547,0.7686851328465844,0.7641722358150274,-0.7637108045577125,0.33240867753934805,-0.28877819315215547,0.7686851328465854
deathsMPop,-0.38062856074503854,-0.1958235511788982,-0.2570366797472521,-0.2660877804834644,-0.2397786588160133,-0.2601885794846112,0.2601885880779765,0.22460201901915083,,0.1540576044549902,0.24536019276874876,,0.2415680314977724,0.2551401647910102,0.7369654902696127,0.35332622629443816,0.1825980286638685,0.43027490320878936,0.9219620922886506,1.0,0.06933465802863727,0.18798977304249176,-0.2570939331265862,0.25194840809246355,-0.2293040638669063,0.5498017969051839,-0.18432278449724518,0.4309800036089055,-0.3265727994673125,0.23274886466176867,0.30292164905866553,0.23306389650727538,,0.5579055524993181,0.8848832024328962,0.7251040328311114,0.568675705151995,-0.5683119115214461,0.23782686094068348,-0.2411398923556464,0.6347562365778372,0.568675705151995,-0.5681724480532749,0.23782686094068348,-0.2411398923556464,0.6347562365778373
totalTests,-0.3707141827785961,0.07559057054194109,0.8280787272597167,0.8012537373007592,0.9030002628976441,-0.3718162424486393,0.37181623707249817,-0.39747312377161764,,-0.8170675125989515,-0.020729716059550197,,0.31967056181441944,0.9126715137008381,0.6420583831257514,0.5396581876071763,0.8896720684708184,0.799048398620083,0.3535600035656541,0.06933465802863727,1.0,0.3246525040047351,0.8326140972887447,-0.02199459495642391,-0.6259175109233613,0.6057003625977235,0.13296063183136925,-0.0018342730229979674,-0.3024933710865176,0.42463827493135664,0.19665229202833032,0.91712288199897,,0.6709525954432984,0.3666423539382912,0.4543340888954473,0.6933878072432278,-0.6931853204044762,0.050219705019085216,-0.08424279906230704,0.5343887715855982,0.6933878072432279,-0.6934475757785029,0.05021970501908508,-0.08424279906230704,0.5343887715855982
testsMPop,0.2541128096963293,0.29206275572339585,-0.2287074358254461,-0.2597799825669221,-0.06574904444592035,-0.08673351166419853,0.08673348559107455,0.24628694937355866,,0.07430008296649605,0.01933624406545526,,-0.08132899486226637,0.07578652116860278,0.09024152237512685,0.3295861849435521,0.01168313557011881,0.04349204541527524,0.3201579284421742,0.18798977304249176,0.3246525040047351,1.0,-0.2241222790996006,0.45395568098431,-0.13256710044238343,-0.013939767557505612,-0.11030349653115869,-0.18000134731083745,0.19821572168684418,-0.3962304767661734,0.15580315878570647,0.09023866492161974,,0.11781443207364725,0.3348583590331321,0.4051803782304448,0.11487419581228941,-0.11483065483086688,-0.04998894478904434,-0.004819902753446463,0.2606449122185525,0.11487419581228935,-0.11436909814263445,-0.04998894478904549,-0.004819902753446463,0.2606449122185563
calcPop,-0.23134335899772349,-0.4594884692910953,0.9999904594476317,0.9932289347556691,0.9914188341719148,-0.6709415909733298,0.670941603089001,-0.6224020152354062,,-0.13352247684546886,-0.21218057606440224,,-0.3446930122708394,0.10198383714375218,-0.06386427123644613,0.4981238899763439,0.019447319388777716,-0.08882305965458677,-0.29545770521824927,-0.2570939331265862,0.8326140972887447,-0.2241222790996006,1.0,-0.29567216061774154,0.3935365476268148,-0.24091501786231947,0.21354946852381176,-0.29130033161066793,0.2110498052461003,-0.22408498674818683,-0.9118694963814947,0.12932444149885586,,0.23856545931503662,-0.2706253241923845,-0.3877541183619583,-0.29498742712733494,0.29601764745222015,-0.6819871162548088,-0.11486974634888046,-0.015642967127638435,-0.29498742712733483,0.29488361064846946,-0.6819871162548085,-0.11486974634888046,-0.015642967127639434
medianAge,0.0807781425025579,0.30592752130056255,-0.29271551495909337,-0.2968084617982537,-0.2841645759969441,0.2877210678735378,-0.28772108129774465,0.8056277089894374,,0.2613202949874026,0.2138753368956286,,-0.06897125639691931,-0.15165756126862653,0.011362503827145879,-0.2178778987413555,-0.13247501710307621,-0.14376098852807404,0.21009706652625088,0.25194840809246355,-0.02199459495642391,0.45395568098431,-0.29567216061774154,1.0,-0.23166109550864386,0.1633765596695509,0.4592528350445578,0.3468968153700285,0.5769589665055109,-0.16454902510446925,0.19137915160471214,-0.16449050532081652,,-0.22244077862842465,0.1958856341016945,-0.04957572665117543,0.06746996087340737,-0.06796169554861918,0.29598117081229625,-0.006682620062197588,-0.13751706498666846,0.0674699608734075,-0.06758878886472464,0.2959811708122974,-0.006682620062197588,-0.1375170649866725
pdi,0.4591487292330273,-0.017757508716143924,0.393523574241368,0.33298018350775066,0.45658439301259934,0.005165178395828374,-0.005165182875235852,-0.013573989434673972,,0.29165689474739,-0.4171608163531683,,-0.42113646090821627,-0.45624250257576643,-0.4215200505695048,-0.261838290781091,-0.4685830597278514,-0.428282218082622,-0.37094125394992583,-0.2293040638669063,-0.6259175109233613,-0.13256710044238343,0.3935365476268148,-0.23166109550864386,1.0,-0.7816507544316305,-0.3234242376164491,-0.2404794035197996,0.27434165306329367,-0.5911516085838006,-0.5313260927422309,-0.4713347910035389,,-0.4769213028615695,-0.4344917388384175,-0.4864096441462185,-0.7156648114476825,0.7157487021730041,-0.42472993499006684,0.073181332656203,-0.413823554677478,-0.7156648114476823,0.7158006494364237,-0.42472993499006684,0.073181332656203,-0.41382355467747733
