,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
14,Chile,CHL,23.88959856,22516.60786,17762681,15517478,2245203,87.36,12.64,79.315,33.700001,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Chile,152,,,,Developing,Chile,8273,94,2937,5242,389,433,5,91873,4806,19106236,63,23,28,86,31,68,1585267200,1306,10,7.17472431,6.84E-05,-9.590801022,6.070737728,1.52E-06,-2407.292419,0.972562287,2.84E-19,6.88E-08,1.52E-06,-2424.057945,0.972562287,2.84E-19,6.88E-08
15,Chile,CHL,23.88959856,22516.60786,17762681,15517478,2245203,87.36,12.64,79.315,33.700001,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Chile,152,,,,Developing,Chile,8273,94,2937,5242,389,433,5,91873,4806,19106236,63,23,28,86,31,68,1584835200,537,5,6.285998095,2.81E-05,-10.47952724,6.070737728,1.52E-06,-2407.292419,0.972562287,2.84E-19,6.88E-08,1.52E-06,-2424.057945,0.972562287,2.84E-19,6.88E-08
0,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1582848000,78927,40,11.27627865,5.46E-05,-9.814805076,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
3,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1582416000,77016,35,11.25176847,5.33E-05,-9.839315258,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
5,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1581984000,72508,30,11.19145218,5.02E-05,-9.89963155,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
13,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1581120000,34625,20,10.45233124,2.40E-05,-10.63875249,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
15,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1580256000,5994,10,8.698514248,4.15E-06,-12.39256948,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
16,China,CHN,146.0576461,13569.89153,1397028553,761027100,610192900,55.5,44.5,76.092,37,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342,77892,1107,95,57,2,,,1444578947,80,20,66,30,87,24,1579824000,882,5,6.782192056,6.11E-07,-14.30889167,4.043051268,4.95E-07,-772.8109834,0.719859157,2.72E-15,5.14E-08,4.95E-07,-793.9020672,0.719859157,2.72E-15,5.14E-08
14,Colombia,COL,43.46885714,12985.38313,48228697,38469138,9759559,79.764,20.236,74.2,30.1,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Colombia,170,,,,Developing,Colombia,3105,131,452,2522,106,61,3,45423,893,50901639,67,13,64,80,13,83,1586304000,1780,20,7.484368643,3.50E-05,-10.26103704,4.110873864,1.40E-06,-2211.057734,0.983009715,1.14E-20,5.12E-08,1.40E-06,-2228.80314,0.983009715,1.14E-20,5.12E-08
16,Colombia,COL,43.46885714,12985.38313,48228697,38469138,9759559,79.764,20.236,74.2,30.1,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Colombia,170,,,,Developing,Colombia,3105,131,452,2522,106,61,3,45423,893,50901639,67,13,64,80,13,83,1585440000,608,10,6.410174882,1.19E-05,-11.3352308,4.110873864,1.40E-06,-2211.057734,0.983009715,1.14E-20,5.12E-08,1.40E-06,-2228.80314,0.983009715,1.14E-20,5.12E-08
17,Colombia,COL,43.46885714,12985.38313,48228697,38469138,9759559,79.764,20.236,74.2,30.1,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Colombia,170,,,,Developing,Colombia,3105,131,452,2522,106,61,3,45423,893,50901639,67,13,64,80,13,83,1585008000,306,5,5.723585102,6.01E-06,-12.02182058,4.110873864,1.40E-06,-2211.057734,0.983009715,1.14E-20,5.12E-08,1.40E-06,-2228.80314,0.983009715,1.14E-20,5.12E-08
15,Costa Rica,CRI,94.1608304,14738.60762,4807852,3695411,1112441,76.862,23.138,79.634,31.4,1,World,19,Americas,419,Latin America and the Caribbean,13,Central America,Costa Rica,188,,,,Developing,Costa Rica,626,4,67,555,11,123,0.8,9089,1784,5089431,35,15,21,86,,,1586476800,539,20,6.289715571,0.000105906,-9.152961024,4.812184355,7.76E-07,-1225.577134,0.964078258,2.54E-15,4.37E-08,7.76E-07,-1241.019811,0.964078258,2.54E-15,4.37E-08
17,Costa Rica,CRI,94.1608304,14738.60762,4807852,3695411,1112441,76.862,23.138,79.634,31.4,1,World,19,Americas,419,Latin America and the Caribbean,13,Central America,Costa Rica,188,,,,Developing,Costa Rica,626,4,67,555,11,123,0.8,9089,1784,5089431,35,15,21,86,,,1585612800,330,10,5.799092654,6.48E-05,-9.64358394,4.812184355,7.76E-07,-1225.577134,0.964078258,2.54E-15,4.37E-08,7.76E-07,-1241.019811,0.964078258,2.54E-15,4.37E-08
18,Costa Rica,CRI,94.1608304,14738.60762,4807852,3695411,1112441,76.862,23.138,79.634,31.4,1,World,19,Americas,419,Latin America and the Caribbean,13,Central America,Costa Rica,188,,,,Developing,Costa Rica,626,4,67,555,11,123,0.8,9089,1784,5089431,35,15,21,86,,,1585180800,201,5,5.303304908,3.95E-05,-10.13937169,4.812184355,7.76E-07,-1225.577134,0.964078258,2.54E-15,4.37E-08,7.76E-07,-1241.019811,0.964078258,2.54E-15,4.37E-08
17,Cyprus,CYP,125.6477273,30549.10097,1160985,777233,383752,66.946,33.054001,80.344,34.900002,1,World,142,Asia,145,Western Asia,,,Cyprus,196,,,,Developed,Cyprus,715,12,65,638,8,592,10,17923,14845,1207770,,,,,,70,1586736000,633,20,6.450470422,0.000524106,-7.55381582,6.383506635,1.01E-06,-1593.67517,0.980901047,2.05E-16,4.36E-08,1.01E-06,-1607.679456,0.980901047,2.05E-16,4.36E-08
19,Cyprus,CYP,125.6477273,30549.10097,1160985,777233,383752,66.946,33.054001,80.344,34.900002,1,World,142,Asia,145,Western Asia,,,Cyprus,196,,,,Developed,Cyprus,715,12,65,638,8,592,10,17923,14845,1207770,,,,,,70,1585872000,356,10,5.874930731,0.000294758,-8.129355511,6.383506635,1.01E-06,-1593.67517,0.980901047,2.05E-16,4.36E-08,1.01E-06,-1607.679456,0.980901047,2.05E-16,4.36E-08
20,Cyprus,CYP,125.6477273,30549.10097,1160985,777233,383752,66.946,33.054001,80.344,34.900002,1,World,142,Asia,145,Western Asia,,,Cyprus,196,,,,Developed,Cyprus,715,12,65,638,8,592,10,17923,14845,1207770,,,,,,70,1585440000,179,5,5.187385806,0.000148207,-8.816900436,6.383506635,1.01E-06,-1593.67517,0.980901047,2.05E-16,4.36E-08,1.01E-06,-1607.679456,0.980901047,2.05E-16,4.36E-08
6,Czech Republic,CZE,136.5716006,30605.42052,10603762,7748928,2797131,73.477,26.523001,78.57804878,41.400002,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166,819,5316,84,588,16,137672,12856,10715986,57,58,57,74,70,29,1586649600,5902,30,8.683046556,0.000550766,-7.504200648,6.376726948,1.31E-06,-2062.663203,0.950716778,7.81E-18,7.53E-08,1.31E-06,-2078.85045,0.950716778,7.81E-18,7.53E-08
18,Czech Republic,CZE,136.5716006,30605.42052,10603762,7748928,2797131,73.477,26.523001,78.57804878,41.400002,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166,819,5316,84,588,16,137672,12856,10715986,57,58,57,74,70,29,1585785600,3589,20,8.185628891,0.00033492,-8.001618312,6.376726948,1.31E-06,-2062.663203,0.950716778,7.81E-18,7.53E-08,1.31E-06,-2078.85045,0.950716778,7.81E-18,7.53E-08
20,Czech Republic,CZE,136.5716006,30605.42052,10603762,7748928,2797131,73.477,26.523001,78.57804878,41.400002,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166,819,5316,84,588,16,137672,12856,10715986,57,58,57,74,70,29,1584921600,1165,10,7.060476366,0.000108716,-9.126770837,6.376726948,1.31E-06,-2062.663203,0.950716778,7.81E-18,7.53E-08,1.31E-06,-2078.85045,0.950716778,7.81E-18,7.53E-08
21,Czech Republic,CZE,136.5716006,30605.42052,10603762,7748928,2797131,73.477,26.523001,78.57804878,41.400002,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166,819,5316,84,588,16,137672,12856,10715986,57,58,57,74,70,29,1584489600,434,5,6.073044534,4.05E-05,-10.11420267,6.376726948,1.31E-06,-2062.663203,0.950716778,7.81E-18,7.53E-08,1.31E-06,-2078.85045,0.950716778,7.81E-18,7.53E-08
2,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1586476800,113525,40,11.63977836,0.001354687,-6.604184505,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
6,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1586044800,91714,35,11.42643032,0.001094418,-6.817532543,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
12,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1585612800,61913,30,11.03348545,0.000738804,-7.210477408,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
26,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1584748800,18187,20,9.808462332,0.000217024,-8.435500529,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
29,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1583884800,1296,10,7.167037877,1.55E-05,-11.07692498,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
31,Germany,DEU,234.1536581,43937.94713,81707789,63062064,18624547,77.2,22.799999,80.64146341,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617,35,67,66,65,83,40,1583452800,400,5,5.991464547,4.77E-06,-12.25249831,7.38274645,1.88E-06,-2967.888365,0.960534308,4.40E-26,8.20E-08,1.88E-06,-2986.132328,0.960534308,4.40E-26,8.20E-08
4,Denmark,DNK,135.3532508,45458.69715,5688695,4974525,708958,87.526,12.474,80.70243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309,2748,3624,89,1153,53,77712,13417,5794449,18,74,16,23,35,70,1586822400,6318,35,8.751157981,0.001090354,-6.821252967,7.05012252,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08,9.67E-07,-1540.987717,0.95612467,3.04E-20,5.01E-08
7,Denmark,DNK,135.3532508,45458.69715,5688695,4974525,708958,87.526,12.474,80.70243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309,2748,3624,89,1153,53,77712,13417,5794449,18,74,16,23,35,70,1586390400,5402,30,8.594524534,0.000932272,-6.977886414,7.05012252,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08,9.67E-07,-1540.987717,0.95612467,3.04E-20,5.01E-08
19,Denmark,DNK,135.3532508,45458.69715,5688695,4974525,708958,87.526,12.474,80.70243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309,2748,3624,89,1153,53,77712,13417,5794449,18,74,16,23,35,70,1585526400,2395,20,7.78113851,0.000413327,-7.791272438,7.05012252,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08,9.67E-07,-1540.987717,0.95612467,3.04E-20,5.01E-08
21,Denmark,DNK,135.3532508,45458.69715,5688695,4974525,708958,87.526,12.474,80.70243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309,2748,3624,89,1153,53,77712,13417,5794449,18,74,16,23,35,70,1584662400,1151,10,7.048386409,0.000198638,-8.52402454,7.05012252,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08,9.67E-07,-1540.987717,0.95612467,3.04E-20,5.01E-08
22,Denmark,DNK,135.3532508,45458.69715,5688695,4974525,708958,87.526,12.474,80.70243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309,2748,3624,89,1153,53,77712,13417,5794449,18,74,16,23,35,70,1584230400,827,5,6.717804695,0.000142723,-8.854606253,7.05012252,9.67E-07,-1525.415306,0.95612467,3.04E-20,5.01E-08,9.67E-07,-1540.987717,0.95612467,3.04E-20,5.01E-08
20,Dominican Republic,DOM,217.9340509,13395.9168,10528394,8271738,2256656,78.566,21.434,73.673,26.1,1,World,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Dominican Republic,214,,,1,Developing,Dominican Republic,3614,189,208,3217,143,333,17,9275,855,10852853,65,30,65,45,13,54,1586563200,2620,20,7.870929597,0.000241411,-8.329008956,5.80814249,1.43E-06,-2254.636419,0.962716216,1.49E-14,8.36E-08,1.43E-06,-2270.836357,0.962716216,1.49E-14,8.36E-08
22,Dominican Republic,DOM,217.9340509,13395.9168,10528394,8271738,2256656,78.566,21.434,73.673,26.1,1,World,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Dominican Republic,214,,,1,Developing,Dominican Republic,3614,189,208,3217,143,333,17,9275,855,10852853,65,30,65,45,13,54,1585699200,1109,10,7.011213987,0.000102185,-9.188724565,5.80814249,1.43E-06,-2254.636419,0.962716216,1.49E-14,8.36E-08,1.43E-06,-2270.836357,0.962716216,1.49E-14,8.36E-08
23,Dominican Republic,DOM,217.9340509,13395.9168,10528394,8271738,2256656,78.566,21.434,73.673,26.1,1,World,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Dominican Republic,214,,,1,Developing,Dominican Republic,3614,189,208,3217,143,333,17,9275,855,10852853,65,30,65,45,13,54,1585267200,488,5,6.190315406,4.50E-05,-10.00962315,5.80814249,1.43E-06,-2254.636419,0.962716216,1.49E-14,8.36E-08,1.43E-06,-2270.836357,0.962716216,1.49E-14,8.36E-08
1,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1586649600,1825,20,7.509335266,4.14E-05,-10.0922185,3.891820298,1.40E-06,-2212.579335,0.967675859,1.19E-14,7.78E-08,1.40E-06,-2230.180889,0.967675859,1.19E-14,7.78E-08
1,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585785600,847,10,6.741700695,1.92E-05,-10.85985307,3.891820298,1.40E-06,-2212.579335,0.967675859,1.19E-14,7.78E-08,1.40E-06,-2230.180889,0.967675859,1.19E-14,7.78E-08
1,Algeria,DZA,16.740504,13724.72385,39871528,28248180,11623348,70.848,29.152,75.86,27.5,1,World,2,Africa,15,Northern Africa,,,Algeria,12,,,,Developing,Algeria,2160,336,708,1116,60,49,8,3359,77,44081633,,,,,26,32,1585353600,305,5,5.720311777,6.92E-06,-11.88124199,3.891820298,1.40E-06,-2212.579335,0.967675859,1.19E-14,7.78E-08,1.40E-06,-2230.180889,0.967675859,1.19E-14,7.78E-08
21,Ecuador,ECU,65.00389757,10749.12887,16144368,10235206,5909162,63.398,36.602001,76.102,26.6,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Ecuador,218,,,,Developing,Ecuador,7858,388,780,6690,135,445,22,26093,1479,17658427,78,8,63,67,,,1586217600,3747,20,8.228710799,0.000212193,-8.458012879,6.098074282,1.51E-06,-2386.96559,0.951135717,2.65E-15,9.43E-08,1.51E-06,-2403.652314,0.951135717,2.65E-15,9.43E-08
23,Ecuador,ECU,65.00389757,10749.12887,16144368,10235206,5909162,63.398,36.602001,76.102,26.6,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Ecuador,218,,,,Developing,Ecuador,7858,388,780,6690,135,445,22,26093,1479,17658427,78,8,63,67,,,1585353600,1627,10,7.394493107,9.21E-05,-9.292230571,6.098074282,1.51E-06,-2386.96559,0.951135717,2.65E-15,9.43E-08,1.51E-06,-2403.652314,0.951135717,2.65E-15,9.43E-08
24,Ecuador,ECU,65.00389757,10749.12887,16144368,10235206,5909162,63.398,36.602001,76.102,26.6,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Ecuador,218,,,,Developing,Ecuador,7858,388,780,6690,135,445,22,26093,1479,17658427,78,8,63,67,,,1584921600,789,5,6.670766321,4.47E-05,-10.01595736,6.098074282,1.51E-06,-2386.96559,0.951135717,2.65E-15,9.43E-08,1.51E-06,-2403.652314,0.951135717,2.65E-15,9.43E-08
8,Egypt,EGY,94.206813,10095.61017,93778172,40122991,53655181,42.785,57.215,71.304,24.700001,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183,589,1733,,24,2,25000,244,104375000,70,25,45,80,7,4,1586908800,2350,30,7.762170607,2.25E-05,-10.70133013,3.17805383,1.12E-06,-1762.030791,0.994352592,8.28E-30,2.21E-08,1.12E-06,-1780.494292,0.994352592,8.28E-30,2.21E-08
22,Egypt,EGY,94.206813,10095.61017,93778172,40122991,53655181,42.785,57.215,71.304,24.700001,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183,589,1733,,24,2,25000,244,104375000,70,25,45,80,7,4,1586044800,985,20,6.892641641,9.44E-06,-11.5708591,3.17805383,1.12E-06,-1762.030791,0.994352592,8.28E-30,2.21E-08,1.12E-06,-1780.494292,0.994352592,8.28E-30,2.21E-08
24,Egypt,EGY,94.206813,10095.61017,93778172,40122991,53655181,42.785,57.215,71.304,24.700001,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183,589,1733,,24,2,25000,244,104375000,70,25,45,80,7,4,1585180800,442,10,6.091309882,4.23E-06,-12.37219086,3.17805383,1.12E-06,-1762.030791,0.994352592,8.28E-30,2.21E-08,1.12E-06,-1780.494292,0.994352592,8.28E-30,2.21E-08
25,Egypt,EGY,94.206813,10095.61017,93778172,40122991,53655181,42.785,57.215,71.304,24.700001,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183,589,1733,,24,2,25000,244,104375000,70,25,45,80,7,4,1584748800,256,5,5.545177444,2.45E-06,-12.9183233,3.17805383,1.12E-06,-1762.030791,0.994352592,8.28E-30,2.21E-08,1.12E-06,-1780.494292,0.994352592,8.28E-30,2.21E-08
9,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1586649600,161852,40,11.99443762,0.003461749,-5.665981311,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
16,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1586217600,135032,35,11.81326707,0.002888113,-5.847151861,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
36,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1585785600,102136,30,11.53406054,0.002184522,-6.126358389,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
69,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1584921600,28572,20,10.2601825,0.000611108,-7.400236431,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
80,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1584057600,3004,10,8.007700013,6.43E-05,-9.652718914,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
83,Spain,ESP,92.84621197,32291.1552,46397664,36971015,9473817,79.602,20.398001,82.83170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400,57,51,42,86,48,44,1583625600,430,5,6.063785209,9.20E-06,-11.59663372,8.259458195,1.96E-06,-3095.588717,0.94727549,2.24E-22,1.02E-07,1.96E-06,-3113.249136,0.94727549,2.24E-22,1.02E-07
9,Estonia,EST,31.03106865,27549.58137,1315321,899949,415458,68.416,31.584,77.5902439,41.599998,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35,117,1248,10,1055,26,33967,25606,1327014,40,60,30,60,82,16,1586822400,1332,30,7.194436851,0.001003757,-6.904005012,6.961296046,8.60E-07,-1357.867638,0.975710532,2.44E-21,3.53E-08,8.60E-07,-1371.96608,0.975710532,2.44E-21,3.53E-08
23,Estonia,EST,31.03106865,27549.58137,1315321,899949,415458,68.416,31.584,77.5902439,41.599998,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35,117,1248,10,1055,26,33967,25606,1327014,40,60,30,60,82,16,1585958400,961,20,6.867974409,0.000724182,-7.230467454,6.961296046,8.60E-07,-1357.867638,0.975710532,2.44E-21,3.53E-08,8.60E-07,-1371.96608,0.975710532,2.44E-21,3.53E-08
25,Estonia,EST,31.03106865,27549.58137,1315321,899949,415458,68.416,31.584,77.5902439,41.599998,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35,117,1248,10,1055,26,33967,25606,1327014,40,60,30,60,82,16,1585094400,369,10,5.910796644,0.000278068,-8.187645219,6.961296046,8.60E-07,-1357.867638,0.975710532,2.44E-21,3.53E-08,8.60E-07,-1371.96608,0.975710532,2.44E-21,3.53E-08
27,Estonia,EST,31.03106865,27549.58137,1315321,899949,415458,68.416,31.584,77.5902439,41.599998,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35,117,1248,10,1055,26,33967,25606,1327014,40,60,30,60,82,16,1584662400,267,5,5.587248658,0.000201204,-8.511193205,6.961296046,8.60E-07,-1357.867638,0.975710532,2.44E-21,3.53E-08,8.60E-07,-1371.96608,0.975710532,2.44E-21,3.53E-08
10,Finland,FIN,18.03011089,38941.7636,5481966,4669930,809601,85.225,14.775,81.4804878,42.5,1,World,150,Europe,154,Northern Europe,,,Finland,246,,,,Developed,Finland,3237,72,300,2865,75,584,13,48828,8813,5542808,33,63,26,59,38,57,1586649600,2905,30,7.974188669,0.000524103,-7.55382312,6.369900983,1.04E-06,-1647.883879,0.983659823,2.11E-25,3.38E-08,1.04E-06,-1663.411891,0.983659823,2.11E-25,3.38E-08
24,Finland,FIN,18.03011089,38941.7636,5481966,4669930,809601,85.225,14.775,81.4804878,42.5,1,World,150,Europe,154,Northern Europe,,,Finland,246,,,,Developed,Finland,3237,72,300,2865,75,584,13,48828,8813,5542808,33,63,26,59,38,57,1585785600,1446,20,7.276556403,0.000260879,-8.251455387,6.369900983,1.04E-06,-1647.883879,0.983659823,2.11E-25,3.38E-08,1.04E-06,-1663.411891,0.983659823,2.11E-25,3.38E-08
26,Finland,FIN,18.03011089,38941.7636,5481966,4669930,809601,85.225,14.775,81.4804878,42.5,1,World,150,Europe,154,Northern Europe,,,Finland,246,,,,Developed,Finland,3237,72,300,2865,75,584,13,48828,8813,5542808,33,63,26,59,38,57,1584921600,626,10,6.439350371,0.000112939,-9.088661418,6.369900983,1.04E-06,-1647.883879,0.983659823,2.11E-25,3.38E-08,1.04E-06,-1663.411891,0.983659823,2.11E-25,3.38E-08
