,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
3,Armenia,ARM,102.4569723,8195.93365,2916950,1840158,1076792,63.085,36.915001,74.445,33.900002,1,World,142,Asia,145,Western Asia,,,Armenia,51,,1,,Developing,Armenia,1111,17,297,797,30,375,6,9095,3069,2962667,,,,,61,,1585440000,424,10,6.049733455,0.000143114,-8.851866979,5.926926026,9.91E-07,-1565.554611,0.968580831,3.09E-17,4.99E-08,9.91E-07,-1580.456212,0.968580831,3.09E-17,4.99E-08
3,Armenia,ARM,102.4569723,8195.93365,2916950,1840158,1076792,63.085,36.915001,74.445,33.900002,1,World,142,Asia,145,Western Asia,,,Armenia,51,,1,,Developing,Armenia,1111,17,297,797,30,375,6,9095,3069,2962667,,,,,61,,1585008000,194,5,5.267858159,6.55E-05,-9.633742275,5.926926026,9.91E-07,-1565.554611,0.968580831,3.09E-17,4.99E-08,9.91E-07,-1580.456212,0.968580831,3.09E-17,4.99E-08
0,Australia,AUS,3.104641058,43923.25827,23799556,20440360,3410424,85.701,14.299,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63,3702,2697,76,253,2,377024,14785,25541502,38,90,61,51,21,71,1586822400,6366,35,8.758726608,0.000249241,-8.297088609,5.533389489,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08,1.41E-06,-2252.772521,0.933788637,3.41E-17,9.16E-08
0,Australia,AUS,3.104641058,43923.25827,23799556,20440360,3410424,85.701,14.299,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63,3702,2697,76,253,2,377024,14785,25541502,38,90,61,51,21,71,1586390400,6052,30,8.708144075,0.000236948,-8.347671142,5.533389489,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08,1.41E-06,-2252.772521,0.933788637,3.41E-17,9.16E-08
4,Australia,AUS,3.104641058,43923.25827,23799556,20440360,3410424,85.701,14.299,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63,3702,2697,76,253,2,377024,14785,25541502,38,90,61,51,21,71,1585526400,4093,20,8.317033476,0.000160249,-8.73878174,5.533389489,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08,1.41E-06,-2252.772521,0.933788637,3.41E-17,9.16E-08
4,Australia,AUS,3.104641058,43923.25827,23799556,20440360,3410424,85.701,14.299,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63,3702,2697,76,253,2,377024,14785,25541502,38,90,61,51,21,71,1584662400,709,10,6.563855527,2.78E-05,-10.49195969,5.533389489,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08,1.41E-06,-2252.772521,0.933788637,3.41E-17,9.16E-08
4,Australia,AUS,3.104641058,43923.25827,23799556,20440360,3410424,85.701,14.299,82.4,37.400002,1,World,9,Oceania,53,Australia and New Zealand,,,Australia,36,,,,Developed,Australia,6462,63,3702,2697,76,253,2,377024,14785,25541502,38,90,61,51,21,71,1584230400,249,5,5.517452896,9.75E-06,-11.53836232,5.533389489,1.41E-06,-2235.716706,0.933788637,3.41E-17,9.16E-08,1.41E-06,-2252.772521,0.933788637,3.41E-17,9.16E-08
1,Austria,AUT,104.7307902,44304.96776,8678657,4988134,3654565,57.715,42.285,81.1902439,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393,8098,5859,232,1593,44,156801,17410,9008161,11,55,79,70,60,63,1586736000,13937,35,9.542302453,0.001547153,-6.471339049,7.37337431,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07,1.45E-06,-2311.691144,0.922219298,1.99E-16,1.02E-07
1,Austria,AUT,104.7307902,44304.96776,8678657,4988134,3654565,57.715,42.285,81.1902439,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393,8098,5859,232,1593,44,156801,17410,9008161,11,55,79,70,60,63,1586304000,12640,30,9.444621668,0.001403172,-6.569019835,7.37337431,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07,1.45E-06,-2311.691144,0.922219298,1.99E-16,1.02E-07
5,Austria,AUT,104.7307902,44304.96776,8678657,4988134,3654565,57.715,42.285,81.1902439,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393,8098,5859,232,1593,44,156801,17410,9008161,11,55,79,70,60,63,1585440000,8291,20,9.022925868,0.000920388,-6.990715634,7.37337431,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07,1.45E-06,-2311.691144,0.922219298,1.99E-16,1.02E-07
