Entity,Code,Year,Urbanlandarea(sq.km)(squarekilometres)
Europe & Central Asia (excluding high income),,2010,306135.406946
European Union,,2010,547911.4706739
Faeroe Islands,FRO,2010,335.4758301
Fiji,FJI,2010,1746.58667
Finland,FIN,2010,20052.17383
Fragile and conflict affected situations,,2010,84135.122638635
France,FRA,2010,86463.0625
French Polynesia,PYF,2010,238.1499786
Gabon,GAB,2010,836.4829102
Gambia,GMB,2010,446.1829224
Georgia,GEO,2010,3602.762939
Germany,DEU,2010,62374.19922
Ghana,GHA,2010,6239.439453
Gibraltar,GIB,2010,4.473595619
Greece,GRC,2010,18519.16406
Greenland,GRL,2010,33.34839249
Grenada,GRD,2010,169.5156097
Guam,GUM,2010,515.956604
Guatemala,GTM,2010,4132.351074
Guinea,GIN,2010,1473.595703
Guinea-Bissau,GNB,2010,306.3417664
Guyana,GUY,2010,626.756958
Haiti,HTI,2010,764.3450928
Heavily indebted poor countries (HIPC),,2010,66416.76365687
High income,,2010,1831404.06300621
Honduras,HND,2010,3702.359375
Hong Kong,HKG,2010,901.5428467
IBRD only,,2010,1729283.57576144
IDA & IBRD total,,2010,1896762.06174701
IDA blend,,2010,68058.0020233
IDA only,,2010,99420.483962275
IDA total,,2010,167478.485985575
Iceland,ISL,2010,1023.837036
India,IND,2010,222688.2344
Indonesia,IDN,2010,42076.82813
Iran,IRN,2010,69242.76563
Iraq,IRQ,2010,12429.91504
Ireland,IRL,2010,5638.355957
Isle of Man,IMN,2010,241.8645325
Israel,ISR,2010,6399.019531
Italy,ITA,2010,73540.88281
Jamaica,JAM,2010,3000.631592
Japan,JPN,2010,108678.2422
Jordan,JOR,2010,3383.973877
Kenya,KEN,2010,4187.614746
Kiribati,KIR,2010,3.643230915
Kuwait,KWT,2010,3942.298828
Laos,LAO,2010,1018.75415
Late-demographic dividend,,2010,962553.0634535
Latin America & Caribbean,,2010,462259.61201613
Latin America & Caribbean (IDA & IBRD),,2010,442624.7006104
Latin America & Caribbean (excluding high income),,2010,374771.9141687
Latvia,LVA,2010,3278.516846
Least developed countries: UN classification,,2010,71801.567385675
Lebanon,LBN,2010,2317.423828
Liberia,LBR,2010,434.2752991
Libya,LBY,2010,10082.89258
Lithuania,LTU,2010,4610.856445
Low & middle income,,2010,1797908.12399696
Low income,,2010,56376.9589588
Lower middle income,,2010,489144.842526275
Luxembourg,LUX,2010,801.083374
Macao,MAC,2010,17.72437096
Macedonia,MKD,2010,2667.351074
Madagascar,MDG,2010,2272.414795
Malawi,MWI,2010,1815.103394
Malaysia,MYS,2010,15564.95215
Maldives,MDV,2010,0.0
Mali,MLI,2010,2910.42749
Malta,MLT,2010,293.3409119
Marshall Islands,MHL,2010,0.0
Mauritania,MRT,2010,771.6014404
Mauritius,MUS,2010,1276.015869
Mexico,MEX,2010,102418.1094
Micronesia (country),FSM,2010,243.1120605
Middle East & North Africa,,2010,261305.5447712
Middle East & North Africa (IDA & IBRD),,2010,190686.7495152
Middle East & North Africa (excluding high income),,2010,193183.2077672
Middle income,,2010,1741531.16503816
Moldova,MDA,2010,2607.522217
Monaco,MCO,2010,1.920578122
Morocco,MAR,2010,12057.44141
Mozambique,MOZ,2010,2739.14502
Myanmar,MMR,2010,6960.023438
Namibia,NAM,2010,2467.779053
Nauru,NRU,2010,11.98700333
Netherlands,NLD,2010,12802.99316
New Caledonia,NCL,2010,208.4334564
New Zealand,NZL,2010,8116.299805
Nicaragua,NIC,2010,2882.378662
Nigeria,NGA,2010,17196.23438
North America,,2010,928603.37159241
North Korea,PRK,2010,2343.61377
Northern Mariana Islands,MNP,2010,108.512558
Norway,NOR,2010,20282.20508
OECD members,,2010,1811316.357526
Oman,OMN,2010,5651.354004
Other small states,,2010,16640.86603986
Pacific island small states,,2010,2495.945557185
Pakistan,PAK,2010,35871.94141
Palau,PLW,2010,30.74201965
Palestine,PSE,2010,2496.458252
Panama,PAN,2010,2892.144043
Papua New Guinea,PNG,2010,2003.610596
Peru,PER,2010,16425.76758
Philippines,PHL,2010,10817.37305
Poland,POL,2010,30501.3418
Portugal,PRT,2010,12764.67676
Post-demographic dividend,,2010,1673621.02028356
Pre-demographic dividend,,2010,82664.21513266
Puerto Rico,PRI,2010,8511.401367
Qatar,QAT,2010,1495.149292
Romania,ROU,2010,15594.78906
Russia,RUS,2010,187538.1445
Saint Kitts and Nevis,KNA,2010,230.6646423
Saint Lucia,LCA,2010,351.2103882
Saint Vincent and the Grenadines,VCT,2010,111.6811523
Samoa,WSM,2010,108.1327591
San Marino,SMR,2010,57.78162003
Sao Tome and Principe,STP,2010,68.23683167
Saudi Arabia,SAU,2010,41223.73828
Senegal,SEN,2010,1796.192627
Seychelles,SYC,2010,122.5104828
Sierra Leone,SLE,2010,710.4832764
Singapore,SGP,2010,565.5597534
Slovenia,SVN,2010,2509.15625
Small states,,2010,28478.632230145
Solomon Islands,SLB,2010,72.10932922
Somalia,SOM,2010,398.7160645
South Africa,ZAF,2010,53460.3125
South Asia,,2010,273701.713894
South Asia (IDA & IBRD),,2010,273701.713894
South Korea,KOR,2010,21922.01563
Spain,ESP,2010,69794.58594
Sri Lanka,LKA,2010,4016.146484
Sub-Saharan Africa,,2010,140495.02694483
Sub-Saharan Africa (IDA & IBRD),,2010,140495.02694483
Sub-Saharan Africa (excluding high income),,2010,140372.51646203
Sudan,SDN,2010,6517.513672
Suriname,SUR,2010,692.7034912
Swaziland,SWZ,2010,802.2711182
Sweden,SWE,2010,31152.32031
Switzerland,CHE,2010,7898.148926
Syrian Arab Republic,,2010,11955.19727
Tanzania,TZA,2010,3405.80542
Thailand,THA,2010,36597.01563
Timor,TLS,2010,359.4190674
Togo,TGO,2010,1663.073608
Tonga,TON,2010,181.8270264
Trinidad and Tobago,TTO,2010,2286.748047
Tunisia,TUN,2010,9897.881836
Turkey,TUR,2010,44090.15625
Turks and Caicos Islands,TCA,2010,17.49214363
Tuvalu,TUV,2010,0.0
Ukraine,UKR,2010,32160.1582
United Arab Emirates,ARE,2010,8568.158203
United Kingdom,GBR,2010,58698.75
United States,USA,2010,802053.5923
United States Virgin Islands,VIR,2010,302.0132141
Upper middle income,,2010,1252386.32251189
Uruguay,URY,2010,4689.679688
Vanuatu,VUT,2010,97.80545807
Venezuela,VEN,2010,34403.92578
Vietnam,VNM,2010,7589.041504
World,OWID_WRL,2010,3629312.18700318
Yemen,YEM,2010,4703.399902
